model,confidence,entry_c,entry_penetration_c,entry_end_minute,target_c,target_penetration_c,discovery_trades,discovery_avg_pnl_c,discovery_profit_factor,discovery_win_rate,discovery_avg_win_c,discovery_avg_loss_c,discovery_median_fill_minute,validation_trades,validation_avg_pnl_c,validation_profit_factor,validation_win_rate,validation_avg_win_c,validation_avg_loss_c,validation_median_fill_minute
p_btc_signal,0.125,20,1,8,90,0,54,10.166666666666666,1.6474056603773586,0.4074074074074074,63.5,-26.5,8.0,28,-0.7857142857142857,0.9584905660377359,0.2857142857142857,63.5,-26.5,8.0
p_btc_signal,0.125,20,1,8,90,1,54,10.166666666666666,1.6474056603773586,0.4074074074074074,63.5,-26.5,8.0,28,-0.7857142857142857,0.9584905660377359,0.2857142857142857,63.5,-26.5,8.0
p_btc_signal,0.125,20,1,8,90,2,54,10.166666666666666,1.6474056603773586,0.4074074074074074,63.5,-26.5,8.0,28,-0.7857142857142857,0.9584905660377359,0.2857142857142857,63.5,-26.5,8.0
p_btc_signal,0.125,20,1,8,85,0,54,8.12962962962963,1.517688679245283,0.4074074074074074,58.5,-26.5,8.0,28,-2.2142857142857144,0.8830188679245283,0.2857142857142857,58.5,-26.5,8.0
p_btc_signal,0.125,20,1,8,85,1,54,8.12962962962963,1.517688679245283,0.4074074074074074,58.5,-26.5,8.0,28,-2.2142857142857144,0.8830188679245283,0.2857142857142857,58.5,-26.5,8.0
p_btc_signal,0.125,20,1,8,85,2,54,8.12962962962963,1.517688679245283,0.4074074074074074,58.5,-26.5,8.0,28,-2.2142857142857144,0.8830188679245283,0.2857142857142857,58.5,-26.5,8.0
p_btc_signal,0.1,20,2,8,90,0,62,8.338709677419354,1.5134061569016881,0.3870967741935484,63.5,-26.5,8.0,21,-5.071428571428571,0.7488207547169812,0.23809523809523808,63.5,-26.5,8.0
p_btc_signal,0.1,20,2,8,90,1,62,8.338709677419354,1.5134061569016881,0.3870967741935484,63.5,-26.5,8.0,21,-5.071428571428571,0.7488207547169812,0.23809523809523808,63.5,-26.5,8.0
p_btc_signal,0.1,20,2,8,90,2,62,8.338709677419354,1.5134061569016881,0.3870967741935484,63.5,-26.5,8.0,21,-5.071428571428571,0.7488207547169812,0.23809523809523808,63.5,-26.5,8.0
p_btc_signal,0.1,20,1,8,90,0,69,7.413043478260869,1.4488810881965775,0.37681159420289856,63.5,-26.5,8.0,30,-2.5,0.8713550600343053,0.26666666666666666,63.5,-26.5,8.0
