rule,side_filter,target_c,trades,avg_entry_c,median_entry_minute,hit_rate,breakeven_hit_rate,avg_pnl_c,total_pnl_c,min_quartile_ev_c,quartile_ev_c,positive_weeks,weeks,min_week_ev_c,avg_early_low_c,avg_early_reclaim_c,avg_signed_btc_ret_1_5,avg_btc_range_1_5
low<=20_close40-65_green,BOTH,60,536,49.13059701492537,7.0,0.7723880597014925,0.8188432835820895,-2.787313432835821,-1494.0,-6.485074626865672,"-2.33,-2.10,-0.23,-6.49",2,10,-9.0,15.486940298507463,11.87257462686567,-8.479085820895293,105.83067164179131
low<=20_close40-65_green,BOTH,70,536,49.13059701492537,7.0,0.6921641791044776,0.701865671641791,-0.6791044776119406,-364.00000000000017,-1.656716417910448,"1.48,-1.66,-1.05,-1.49",3,10,-3.883720930232558,15.486940298507463,11.87257462686567,-8.479085820895293,105.83067164179131
low<=20_close40-65_green,BOTH,80,536,49.13059701492537,7.0,0.6063432835820896,0.6141324626865672,-0.6231343283582089,-334.0,-3.2985074626865676,"3.49,-3.30,-0.83,-1.86",5,10,-5.88135593220339,15.486940298507463,11.87257462686567,-8.479085820895293,105.83067164179131
low<=20_close40-65_green,BOTH,85,536,49.13059701492537,7.0,0.5652985074626866,0.5780070237050043,-1.0802238805970152,-579.0000000000001,-6.1716417910447765,"2.41,-6.17,-1.01,0.46",4,10,-10.288135593220339,15.486940298507463,11.87257462686567,-8.479085820895293,105.83067164179131
low<=20_close40-65_green,BOTH,90,536,49.13059701492537,7.0,0.5335820895522388,0.5458955223880597,-1.1082089552238805,-594.0,-6.358208955223881,"2.82,-6.36,-1.57,0.68",5,10,-10.966101694915254,15.486940298507463,11.87257462686567,-8.479085820895293,105.83067164179131
low<=20_close40-65_green,BOTH,99,536,49.13059701492537,7.0,0.48134328358208955,0.4962686567164179,-1.4776119402985075,-792.0,-6.5597014925373145,"2.22,-6.56,-4.26,2.69",4,10,-8.677966101694915,15.486940298507463,11.87257462686567,-8.479085820895293,105.83067164179131
low<=20_close40-65_green,YES,60,262,48.85114503816794,7.0,0.7862595419847328,0.8141857506361324,-1.6755725190839694,-439.0,-3.999999999999999,"-4.00,-1.28,2.23,-3.59",4,10,-7.218749999999999,15.668320610687024,12.227862595419849,-5.50419847328202,108.93774809160337
low<=20_close40-65_green,YES,70,262,48.85114503816794,7.0,0.7175572519083969,0.6978735005452563,1.3778625954198473,361.0,-1.123076923076923,"1.45,-1.12,4.23,0.95",6,10,-9.346153846153847,15.668320610687024,12.227862595419849,-5.50419847328202,108.93774809160337
low<=20_close40-65_green,YES,80,262,48.85114503816794,7.0,0.6259541984732825,0.6106393129770993,1.2251908396946565,321.0,-4.3538461538461535,"2.67,-4.35,4.38,2.17",7,10,-12.807692307692308,15.668320610687024,12.227862595419849,-5.50419847328202,108.93774809160337
low<=20_close40-65_green,YES,85,262,48.85114503816794,7.0,0.5916030534351145,0.5747193533902111,1.4351145038167938,376.0,-5.584615384615384,"3.35,-5.58,2.46,5.42",7,10,-13.76923076923077,15.668320610687024,12.227862595419849,-5.50419847328202,108.93774809160337
low<=20_close40-65_green,YES,90,262,48.85114503816794,7.0,0.5458015267175572,0.5427905004240883,0.27099236641221375,71.0,-5.892307692307693,"2.36,-5.89,1.31,3.23",6,10,-15.115384615384615,15.668320610687024,12.227862595419849,-5.50419847328202,108.93774809160337
low<=20_close40-65_green,YES,99,262,48.85114503816794,7.0,0.48854961832061067,0.49344590947644384,-0.4847328244274809,-127.0,-7.8307692307692305,"0.05,-7.83,1.72,4.05",4,10,-15.461538461538462,15.668320610687024,12.227862595419849,-5.50419847328202,108.93774809160337
low<=20_close40-65_green,NO,60,274,49.3978102189781,7.0,0.7591240875912408,0.8232968369829684,-3.8503649635036505,-1055.0000000000002,-10.01449275362319,"-1.20,-2.34,-1.79,-10.01",1,10,-14.68421052631579,15.313503649635035,11.532846715328468,-11.323686131386816,102.85967153284693
low<=20_close40-65_green,NO,70,274,49.3978102189781,7.0,0.6678832116788321,0.7056830031282586,-2.6459854014598547,-725.0000000000002,-5.323529411764707,"0.97,-1.60,-5.32,-4.65",4,10,-11.11111111111111,15.313503649635035,11.532846715328468,-11.323686131386816,102.85967153284693
low<=20_close40-65_green,NO,80,274,49.3978102189781,7.0,0.5875912408759124,0.6174726277372262,-2.39051094890511,-655.0000000000001,-6.205882352941178,"3.72,-1.75,-6.21,-5.38",4,10,-11.625,15.313503649635035,11.532846715328468,-11.323686131386816,102.85967153284693
low<=20_close40-65_green,NO,85,274,49.3978102189781,7.0,0.5401459854014599,0.5811507084585659,-3.4854014598540144,-955.0,-6.23529411764706,"0.97,-6.24,-4.81,-3.93",4,10,-9.4375,15.313503649635035,11.532846715328468,-11.323686131386816,102.85967153284693
low<=20_close40-65_green,NO,90,274,49.3978102189781,7.0,0.5218978102189781,0.5488645579886455,-2.427007299270073,-665.0,-6.308823529411765,"2.71,-6.31,-4.88,-1.32",4,10,-9.67857142857143,15.313503649635035,11.532846715328468,-11.323686131386816,102.85967153284693
low<=20_close40-65_green,NO,99,274,49.3978102189781,7.0,0.4744525547445255,0.4989677799896778,-2.4270072992700737,-665.0000000000002,-9.250000000000002,"3.75,-4.85,-9.25,0.51",3,10,-12.892857142857144,15.313503649635035,11.532846715328468,-11.323686131386816,102.85967153284693
