side,trades,avg_cost,hit99,settle_win,avg_pnl_99_c,avg_pnl_hold_c,median_minutes99,yes_share,table,entry_time_bin,drop_peak_bin,prior_peak_bin
NO,7595,0.5442685977616853,0.5597103357472021,0.5553653719552337,0.9844634628044724,1.1096774193548349,9.0,0.0,all_entries_by_side,,,
YES,7549,0.544029672804345,0.5476222016161081,0.5444429725791495,-0.14862895747781274,0.04132997748046053,9.0,1.0,all_entries_by_side,,,
NO,2294,0.5397951176983435,0.5789014821272885,0.5758500435919791,3.3317349607672146,3.6054925893635534,8.0,0.0,selected_by_side,,,
YES,2217,0.5398376184032476,0.5705908885881822,0.5683355886332883,2.5498421290031557,2.8497970230040592,8.0,1.0,selected_by_side,,,
,1466,0.5426193724420191,0.6016371077762619,0.597544338335607,5.300136425648019,5.492496589358797,11.0,0.46521145975443384,selected_by_entry_time,m2-3,,
,942,0.5379617834394905,0.5658174097664543,0.5615711252653928,2.2197452229299337,2.3609341825902317,9.0,0.5063694267515924,selected_by_entry_time,m4-5,,
,1011,0.5376557863501484,0.5608308605341247,0.5588526211671613,1.7566765578634986,2.1196834817012835,7.0,0.503461918892186,selected_by_entry_time,m6-8,,
,723,0.5382434301521439,0.5698478561549101,0.5698478561549101,2.7289073305670786,3.160442600276623,4.0,0.5006915629322268,selected_by_entry_time,m9-11,,
,369,0.5424119241192412,0.5392953929539296,0.5392953929539296,-0.8509485094850969,-0.31165311653116734,2.0,0.5067750677506775,selected_by_entry_time,m12-15,,
,620,0.5546935483870968,0.617741935483871,0.6161290322580645,5.687096774193544,6.1435483870967715,10.0,0.5,selected_by_drop_from_peak,,none,
,534,0.5440823970037454,0.601123595505618,0.5936329588014981,5.102996254681645,4.955056179775279,10.0,0.46441947565543074,selected_by_drop_from_peak,,0-5c,
,759,0.5374308300395257,0.6007905138339921,0.5955204216073782,5.735177865612647,5.808959156785242,9.0,0.48484848484848486,selected_by_drop_from_peak,,5-10c,
,1364,0.5367595307917888,0.5557184750733137,0.5535190615835777,1.3401759530791761,1.6759530791788841,8.0,0.49266862170087977,selected_by_drop_from_peak,,10-20c,
,1234,0.5353403565640195,0.5470016207455429,0.5470016207455429,0.7001620745542927,1.1661264181523487,5.0,0.5016207455429498,selected_by_drop_from_peak,,20c+,
,1380,0.5392101449275363,0.5898550724637681,0.5869565217391305,4.474637681159417,4.774637681159418,10.0,0.48478260869565215,selected_by_prior_peak,,,<60c
,1476,0.5387059620596206,0.5799457994579946,0.5745257452574526,3.5440379403794013,3.5819783197831954,9.0,0.4898373983739837,selected_by_prior_peak,,,60-70c
