rule,side,target_c,trades,hit_rate,breakeven_hit_rate,avg_pnl_c,min_quartile_ev_c,quartile_ev_c,positive_weeks,weeks,min_week_ev_c,settle_win_rate,touch_ema_after_entry,avg_entry_minute,avg_signal_ext_bps,avg_entry_ext_bps,avg_further_ext_bps,yes_share,table
ext10bps_further0bps_entry20c,NO,45,533,0.13133208255159476,0.4444444444444444,-14.090056285178237,-15.970149253731343,"-15.97,-13.57,-14.25,-12.56",0,10,-16.25,0.06191369606003752,0.150093808630394,5.637898686679175,14.901963451427738,16.38952046947893,1.4875570180511941,0.0,rule_side
ext10bps_further0bps_entry20c,NO,50,533,0.11819887429643527,0.4,-14.090056285178237,-15.895522388059701,"-15.90,-13.23,-14.36,-12.86",0,10,-16.323529411764707,0.06191369606003752,0.150093808630394,5.637898686679175,14.901963451427738,16.38952046947893,1.4875570180511941,0.0,rule_side
ext10bps_further0bps_entry20c,NO,55,533,0.11069418386491557,0.36363636363636365,-13.911819887429644,-15.895522388059701,"-15.90,-12.56,-13.80,-13.38",0,10,-17.708333333333332,0.06191369606003752,0.150093808630394,5.637898686679175,14.901963451427738,16.38952046947893,1.4875570180511941,0.0,rule_side
ext10bps_further0bps_entry20c,NO,60,533,0.10318949343339587,0.3333333333333333,-13.808630393996248,-15.522388059701493,"-15.52,-12.78,-13.68,-13.23",0,10,-17.5,0.06191369606003752,0.150093808630394,5.637898686679175,14.901963451427738,16.38952046947893,1.4875570180511941,0.0,rule_side
ext10bps_further0bps_entry20c,NO,65,533,0.08818011257035648,0.3076923076923077,-14.268292682926829,-15.634328358208956,"-15.63,-13.65,-13.65,-14.14",0,10,-17.291666666666668,0.06191369606003752,0.150093808630394,5.637898686679175,14.901963451427738,16.38952046947893,1.4875570180511941,0.0,rule_side
ext10bps_further0bps_entry20c,NO,70,533,0.08067542213883677,0.2857142857142857,-14.352720450281426,-15.298507462686567,"-15.30,-13.68,-14.74,-13.68",0,10,-17.083333333333332,0.06191369606003752,0.150093808630394,5.637898686679175,14.901963451427738,16.38952046947893,1.4875570180511941,0.0,rule_side
ext10bps_further0bps_entry20c,NO,75,533,0.07692307692307693,0.26666666666666666,-14.23076923076923,-14.962686567164178,"-14.96,-14.36,-14.36,-13.23",0,10,-16.875,0.06191369606003752,0.150093808630394,5.637898686679175,14.901963451427738,16.38952046947893,1.4875570180511941,0.0,rule_side
ext10bps_further0bps_entry20c,NO,80,533,0.07317073170731707,0.25,-14.146341463414634,-14.626865671641792,"-14.63,-13.98,-14.59,-13.38",0,10,-16.666666666666668,0.06191369606003752,0.150093808630394,5.637898686679175,14.901963451427738,16.38952046947893,1.4875570180511941,0.0,rule_side
ext10bps_further0bps_entry20c,NO,85,533,0.07129455909943715,0.23529411764705882,-13.939962476547842,-14.291044776119403,"-14.29,-14.25,-14.25,-12.97",0,10,-17.017543859649123,0.06191369606003752,0.150093808630394,5.637898686679175,14.901963451427738,16.38952046947893,1.4875570180511941,0.0,rule_side
ext10bps_further0bps_entry20c,NO,99,533,0.06378986866791744,0.20202020202020202,-13.684803001876173,-14.789473684210526,"-14.09,-13.30,-14.79,-12.56",0,10,-16.526315789473685,0.06191369606003752,0.150093808630394,5.637898686679175,14.901963451427738,16.38952046947893,1.4875570180511941,0.0,rule_side
