rule,side,btc_signed_bin,early_low_bin,target_c,trades,avg_entry_c,hit_rate,breakeven_hit_rate,avg_pnl_c,min_quartile_ev_c,quartile_ev_c,positive_weeks,weeks,min_week_ev_c,median_entry_minute
low<=20_close40-65_green,YES,flat,15-20,85,85,48.38823529411765,0.5529411764705883,0.5692733564013841,-1.388235294117647,-7.499999999999999,"-7.50,-3.14,1.67,3.71",4,10,-17.0,7.0
low<=20_close40-65_green,YES,flat,15-20,90,85,48.38823529411765,0.5176470588235295,0.5376470588235295,-1.8,-13.181818181818182,"-13.18,-0.52,0.24,6.81",3,10,-16.272727272727273,7.0
low<=20_close40-65_green,YES,flat,15-20,99,85,48.38823529411765,0.49411764705882355,0.48877005347593583,0.5294117647058822,-9.499999999999998,"-9.50,4.19,0.24,7.67",4,10,-16.6,7.0
low<=20_close40-65_green,YES,with25-75,15-20,60,33,51.696969696969695,0.8484848484848485,0.8616161616161616,-0.7878787878787874,-2.3333333333333335,"-2.33,-0.25,-1.00,0.63",5,10,-16.333333333333336,6.0
low<=20_close40-65_green,YES,with25-75,15-20,70,33,51.696969696969695,0.7575757575757576,0.7385281385281385,1.3333333333333335,-2.3333333333333335,"-2.33,-0.25,-1.00,9.38",6,10,-54.0,6.0
low<=20_close40-65_green,YES,with25-75,15-20,80,33,51.696969696969695,0.696969696969697,0.6462121212121212,4.0606060606060606,-12.75,"4.33,-12.75,6.50,18.12",5,10,-54.0,6.0
low<=20_close40-65_green,YES,with25-75,15-20,85,33,51.696969696969695,0.6666666666666666,0.6081996434937611,4.96969696969697,-10.25,"7.67,-10.25,-0.37,22.50",5,10,-54.0,6.0
low<=20_close40-65_green,YES,with25-75,15-20,90,33,51.696969696969695,0.6363636363636364,0.5744107744107744,5.575757575757576,-8.5,"11.00,-7.75,-8.50,26.88",5,10,-54.0,6.0
low<=20_close40-65_green,YES,with25-75,15-20,99,33,51.696969696969695,0.5454545454545454,0.5221916131007039,2.303030303030303,-15.625,"6.00,-15.62,-4.00,22.38",4,10,-54.0,6.0
low<=20_close45-65_green,NO,against25-75,15-20,60,31,54.67741935483871,0.9032258064516129,0.9112903225806452,-0.4838709677419369,-3.750000000000001,"-3.75,-3.00,6.86,-1.12",5,9,-6.500000000000002,8.0
low<=20_close45-65_green,NO,against25-75,15-20,70,31,54.67741935483871,0.8709677419354839,0.7811059907834101,6.29032258064516,-3.0000000000000018,"5.00,-3.00,16.86,7.62",8,9,-5.571428571428572,8.0
low<=20_close45-65_green,NO,against25-75,15-20,80,31,54.67741935483871,0.7741935483870968,0.6834677419354839,7.258064516129032,-3.625,"13.75,4.50,15.43,-3.62",6,9,-61.0,8.0
low<=20_close45-65_green,NO,against25-75,15-20,85,31,54.67741935483871,0.5806451612903226,0.6432637571157496,-5.32258064516129,-23.625,"7.50,-23.62,-4.57,-0.50",4,9,-61.0,8.0
low<=20_close45-65_green,NO,against25-75,15-20,90,31,54.67741935483871,0.5806451612903226,0.6075268817204301,-2.4193548387096775,-21.75,"11.25,-21.75,-1.71,2.62",4,9,-61.0,8.0
low<=20_close45-65_green,NO,against25-75,15-20,99,31,54.67741935483871,0.5483870967741935,0.5522971652003911,-0.3870967741935484,-18.375,"18.00,-18.38,3.43,-4.12",4,9,-61.0,8.0
low<=20_close45-65_green,NO,flat,15-20,60,76,52.46052631578947,0.7763157894736842,0.8743421052631579,-5.881578947368422,-11.157894736842106,"-8.53,-3.00,-11.16,-0.84",2,10,-17.2,7.0
low<=20_close45-65_green,NO,flat,15-20,70,76,52.46052631578947,0.7105263157894737,0.7494360902255639,-2.7236842105263164,-8.000000000000002,"-4.84,-2.47,-8.00,4.42",3,10,-15.9,7.0
low<=20_close45-65_green,NO,flat,15-20,80,76,52.46052631578947,0.5921052631578947,0.6557565789473684,-5.092105263157895,-10.631578947368421,"-10.63,-8.26,-10.11,8.63",2,10,-18.9,7.0
low<=20_close45-65_green,NO,flat,15-20,85,76,52.46052631578947,0.5657894736842105,0.6171826625386997,-4.368421052631579,-10.105263157894736,"-8.00,-10.11,-7.47,8.11",2,10,-16.9,7.0
low<=20_close45-65_green,NO,flat,15-20,90,76,52.46052631578947,0.5394736842105263,0.5828947368421052,-3.9078947368421053,-12.473684210526315,"-5.37,-12.47,-9.58,11.79",3,10,-20.11111111111111,7.0
low<=20_close45-65_green,NO,flat,15-20,99,76,52.46052631578947,0.5263157894736842,0.5299043062200957,-0.35526315789473684,-8.68421052631579,"-5.84,-8.68,-5.32,18.42",6,10,-17.11111111111111,7.0
low<=20_close45-65_green,YES,flat,15-20,60,67,51.91044776119403,0.8059701492537313,0.8651741293532338,-3.5522388059701493,-16.58823529411765,"-16.59,-2.24,8.31,-3.00",5,10,-21.250000000000004,7.0
low<=20_close45-65_green,YES,flat,15-20,70,67,51.91044776119403,0.6865671641791045,0.7415778251599147,-3.8507462686567164,-10.705882352941174,"-10.71,-10.47,9.56,-3.00",5,10,-33.75,7.0
low<=20_close45-65_green,YES,flat,15-20,80,67,51.91044776119403,0.5970149253731343,0.6488805970149254,-4.149253731343284,-9.52941176470588,"-9.53,-9.29,8.31,-5.35",6,10,-31.250000000000004,7.0
low<=20_close45-65_green,YES,flat,15-20,85,67,51.91044776119403,0.5671641791044776,0.6107111501316944,-3.701492537313433,-11.88235294117647,"-11.88,-11.65,12.06,-2.41",5,10,-30.000000000000004,7.0
low<=20_close45-65_green,YES,flat,15-20,90,67,51.91044776119403,0.5373134328358209,0.5767827529021559,-3.5522388059701493,-14.823529411764705,"-14.82,-9.29,10.19,0.53",4,10,-28.750000000000004,7.0
low<=20_close45-65_green,YES,flat,15-20,99,67,51.91044776119403,0.5074626865671642,0.524347957183778,-1.671641791044776,-11.117647058823527,"-11.12,-5.06,10.19,-0.00",6,10,-26.500000000000004,7.0
low<=20_close45-65_green,YES,with25-75,15-20,60,30,54.03333333333333,0.9,0.9005555555555556,-0.03333333333333286,-3.5714285714285725,"0.50,-3.57,-3.00,5.13",6,10,-16.333333333333336,6.0
low<=20_close45-65_green,YES,with25-75,15-20,70,30,54.03333333333333,0.8,0.7719047619047619,1.9666666666666672,-5.000000000000001,"0.50,-5.00,-4.43,15.13",7,10,-54.0,6.0
low<=20_close45-65_green,YES,with25-75,15-20,80,30,54.03333333333333,0.7333333333333333,0.6754166666666667,4.633333333333334,-20.714285714285715,"8.00,-20.71,2.71,25.12",5,10,-54.0,6.0
low<=20_close45-65_green,YES,with25-75,15-20,85,30,54.03333333333333,0.7,0.6356862745098039,5.466666666666667,-18.571428571428573,"11.75,-18.57,-5.86,30.12",5,10,-54.0,6.0
low<=20_close45-65_green,YES,with25-75,15-20,90,30,54.03333333333333,0.6666666666666666,0.6003703703703703,5.966666666666667,-16.428571428571427,"15.50,-16.43,-3.00,23.88",5,10,-54.0,6.0
low<=20_close45-65_green,YES,with25-75,15-20,99,30,54.03333333333333,0.5666666666666667,0.5457912457912458,2.066666666666667,-26.714285714285715,"9.88,-26.71,2.14,19.38",4,10,-56.0,6.0
low<=20_close50-70_green,NO,flat,15-20,60,69,58.710144927536234,0.8695652173913043,0.9785024154589372,-6.536231884057971,-8.411764705882355,"-8.06,-8.41,-7.94,-1.65",3,10,-16.4,8.0
