rule,side,btc_signed_bin,early_low_bin,trades,hit85,avg_entry_c,avg_pnl85_c,median_entry_minute
low<=40_close45-65_green,YES,flat,20-25,124,0.6693548387096774,53.45967741935484,3.435483870967742,7.0
low<=30_close50-70_green,NO,against25-75,25-30,25,0.72,57.84,3.359999999999999,9.0
low<=35_close50-70_green,NO,against25-75,25-30,25,0.72,57.84,3.359999999999999,9.0
low<=40_close50-70_green,NO,against25-75,25-30,25,0.72,57.84,3.359999999999999,9.0
low<=25_close40-65_green,NO,with25-75,20-25,33,0.696969696969697,55.90909090909091,3.3333333333333304,6.0
low<=30_close40-65_green,NO,with25-75,20-25,33,0.696969696969697,55.90909090909091,3.3333333333333304,6.0
low<=35_close40-65_green,NO,with25-75,20-25,33,0.696969696969697,55.90909090909091,3.3333333333333304,6.0
low<=40_close40-65_green,NO,with25-75,20-25,33,0.696969696969697,55.90909090909091,3.3333333333333304,6.0
low<=20_close55-75_green,NO,flat,<=15,21,0.7619047619047619,61.57142857142857,3.1904761904761876,7.0
low<=25_close55-75_green,NO,flat,<=15,21,0.7619047619047619,61.57142857142857,3.1904761904761876,7.0
low<=30_close55-75_green,NO,flat,<=15,21,0.7619047619047619,61.57142857142857,3.1904761904761876,7.0
low<=35_close55-75_green,NO,flat,<=15,21,0.7619047619047619,61.57142857142857,3.1904761904761876,7.0
low<=40_close55-75_green,NO,flat,<=15,21,0.7619047619047619,61.57142857142857,3.1904761904761876,7.0
low<=40_close45-65_green,NO,against>75,35+,6,0.6666666666666666,53.5,3.1666666666666643,7.5
low<=20_close50-70_green,NO,against>75,15-20,7,0.7142857142857143,57.57142857142857,3.142857142857142,9.0
low<=25_close50-70_green,NO,against>75,15-20,7,0.7142857142857143,57.57142857142857,3.142857142857142,9.0
low<=30_close50-70_green,NO,against>75,15-20,7,0.7142857142857143,57.57142857142857,3.142857142857142,9.0
low<=35_close50-70_green,NO,against>75,15-20,7,0.7142857142857143,57.57142857142857,3.142857142857142,9.0
low<=40_close50-70_green,NO,against>75,15-20,7,0.7142857142857143,57.57142857142857,3.142857142857142,9.0
low<=20_close50-70_green,YES,with25-75,15-20,35,0.7142857142857143,58.2,2.5142857142857147,6.0
low<=25_close50-70_green,YES,with25-75,15-20,35,0.7142857142857143,58.2,2.5142857142857147,6.0
low<=30_close50-70_green,YES,with25-75,15-20,35,0.7142857142857143,58.2,2.5142857142857147,6.0
low<=35_close50-70_green,YES,with25-75,15-20,35,0.7142857142857143,58.2,2.5142857142857147,6.0
low<=40_close50-70_green,YES,with25-75,15-20,35,0.7142857142857143,58.2,2.5142857142857147,6.0
low<=40_close55-75_green,NO,against25-75,35+,45,0.7555555555555555,61.733333333333334,2.4888888888888863,8.0
low<=25_close40-65_green,YES,flat,20-25,145,0.6275862068965518,50.90344827586207,2.4413793103448276,6.0
low<=30_close40-65_green,YES,flat,20-25,145,0.6275862068965518,50.90344827586207,2.4413793103448276,6.0
low<=35_close40-65_green,YES,flat,20-25,145,0.6275862068965518,50.90344827586207,2.4413793103448276,6.0
low<=40_close40-65_green,YES,flat,20-25,145,0.6275862068965518,50.90344827586207,2.4413793103448276,6.0
low<=40_close50-70_green,YES,against>75,35+,4,0.75,61.5,2.2500000000000036,8.5
low<=40_close55-75_green,YES,against>75,35+,4,0.75,61.5,2.2500000000000036,8.5
low<=40_close40-65_green,NO,with25-75,35+,19,0.7368421052631579,60.421052631578945,2.2105263157894717,6.0
low<=40_close45-65_green,NO,with25-75,35+,19,0.7368421052631579,60.421052631578945,2.2105263157894717,6.0
low<=40_close50-70_green,NO,against>75,35+,6,0.6666666666666666,54.5,2.1666666666666643,9.0
low<=20_close50-70_green,YES,against>75,<=15,8,0.75,61.875,1.875,9.5
low<=25_close50-70_green,YES,against>75,<=15,8,0.75,61.875,1.875,9.5
low<=30_close50-70_green,YES,against>75,<=15,8,0.75,61.875,1.875,9.5
low<=35_close50-70_green,YES,against>75,<=15,8,0.75,61.875,1.875,9.5
low<=40_close50-70_green,YES,against>75,<=15,8,0.75,61.875,1.875,9.5
low<=25_close50-70_green,NO,with25-75,20-25,35,0.7142857142857143,58.97142857142857,1.7428571428571407,6.0
low<=30_close50-70_green,NO,with25-75,20-25,35,0.7142857142857143,58.97142857142857,1.7428571428571407,6.0
low<=35_close50-70_green,NO,with25-75,20-25,35,0.7142857142857143,58.97142857142857,1.7428571428571407,6.0
low<=40_close50-70_green,NO,with25-75,20-25,35,0.7142857142857143,58.97142857142857,1.7428571428571407,6.0
low<=40_close50-70_green,NO,flat,35+,166,0.7228915662650602,59.74698795180723,1.6987951807228903,6.0
low<=25_close50-70_green,YES,against>75,20-25,10,0.7,57.9,1.6000000000000014,8.5
low<=30_close50-70_green,YES,against>75,20-25,10,0.7,57.9,1.6000000000000014,8.5
low<=35_close50-70_green,YES,against>75,20-25,10,0.7,57.9,1.6000000000000014,8.5
low<=40_close50-70_green,YES,against>75,20-25,10,0.7,57.9,1.6000000000000014,8.5
low<=25_close40-65_green,YES,with25-75,20-25,40,0.65,53.675,1.5749999999999995,6.0
low<=30_close40-65_green,YES,with25-75,20-25,40,0.65,53.675,1.5749999999999995,6.0
low<=35_close40-65_green,YES,with25-75,20-25,40,0.65,53.675,1.5749999999999995,6.0
low<=40_close40-65_green,YES,with25-75,20-25,40,0.65,53.675,1.5749999999999995,6.0
low<=40_close55-75_green,NO,flat,35+,182,0.7692307692307693,63.81318681318681,1.5714285714285703,6.0
low<=30_close55-75_green,YES,with>75,25-30,12,0.8333333333333334,69.33333333333333,1.5,6.0
low<=35_close55-75_green,YES,with>75,25-30,12,0.8333333333333334,69.33333333333333,1.5,6.0
low<=40_close55-75_green,YES,with>75,25-30,12,0.8333333333333334,69.33333333333333,1.5,6.0
low<=20_close50-70_green,YES,flat,15-20,60,0.7,58.35,1.15,7.0
low<=25_close50-70_green,YES,flat,15-20,60,0.7,58.35,1.15,7.0
low<=30_close50-70_green,YES,flat,15-20,60,0.7,58.35,1.15,7.0
low<=35_close50-70_green,YES,flat,15-20,60,0.7,58.35,1.15,7.0
low<=40_close50-70_green,YES,flat,15-20,60,0.7,58.35,1.15,7.0
low<=20_close45-65_green,NO,flat,<=15,23,0.6521739130434783,54.391304347826086,1.0434782608695627,8.0
low<=25_close45-65_green,NO,flat,<=15,23,0.6521739130434783,54.391304347826086,1.0434782608695627,8.0
low<=30_close45-65_green,NO,flat,<=15,23,0.6521739130434783,54.391304347826086,1.0434782608695627,8.0
low<=35_close45-65_green,NO,flat,<=15,23,0.6521739130434783,54.391304347826086,1.0434782608695627,8.0
low<=40_close45-65_green,NO,flat,<=15,23,0.6521739130434783,54.391304347826086,1.0434782608695627,8.0
low<=35_close50-70_green,YES,with25-75,30-35,56,0.75,62.82142857142857,0.9285714285714287,6.0
low<=40_close50-70_green,YES,with25-75,30-35,56,0.75,62.82142857142857,0.9285714285714287,6.0
low<=35_close45-65_green,YES,with25-75,30-35,37,0.7027027027027027,58.86486486486486,0.8648648648648649,6.0
low<=40_close45-65_green,YES,with25-75,30-35,37,0.7027027027027027,58.86486486486486,0.8648648648648649,6.0
low<=35_close50-70_green,NO,with25-75,30-35,57,0.7368421052631579,61.8421052631579,0.7894736842105264,6.0
low<=40_close50-70_green,NO,with25-75,30-35,57,0.7368421052631579,61.8421052631579,0.7894736842105264,6.0
low<=35_close50-70_green,NO,with>75,30-35,4,0.75,63.0,0.75,6.0
low<=40_close50-70_green,NO,with>75,30-35,4,0.75,63.0,0.75,6.0
low<=25_close55-75_green,NO,with25-75,20-25,37,0.7567567567567568,63.67567567567568,0.6486486486486464,6.0
low<=30_close55-75_green,NO,with25-75,20-25,37,0.7567567567567568,63.67567567567568,0.6486486486486464,6.0
low<=35_close55-75_green,NO,with25-75,20-25,37,0.7567567567567568,63.67567567567568,0.6486486486486464,6.0
low<=40_close55-75_green,NO,with25-75,20-25,37,0.7567567567567568,63.67567567567568,0.6486486486486464,6.0
low<=20_close40-65_green,NO,with25-75,15-20,28,0.6071428571428571,51.0,0.6071428571428561,6.0
low<=25_close40-65_green,NO,with25-75,15-20,28,0.6071428571428571,51.0,0.6071428571428561,6.0
low<=30_close40-65_green,NO,with25-75,15-20,28,0.6071428571428571,51.0,0.6071428571428561,6.0
low<=35_close40-65_green,NO,with25-75,15-20,28,0.6071428571428571,51.0,0.6071428571428561,6.0
low<=40_close40-65_green,NO,with25-75,15-20,28,0.6071428571428571,51.0,0.6071428571428561,6.0
low<=25_close40-65_green,NO,flat,20-25,118,0.5847457627118644,49.11864406779661,0.5847457627118627,7.0
low<=30_close40-65_green,NO,flat,20-25,118,0.5847457627118644,49.11864406779661,0.5847457627118627,7.0
low<=35_close40-65_green,NO,flat,20-25,118,0.5847457627118644,49.11864406779661,0.5847457627118627,7.0
low<=40_close40-65_green,NO,flat,20-25,118,0.5847457627118644,49.11864406779661,0.5847457627118627,7.0
low<=25_close45-65_green,YES,with25-75,20-25,40,0.65,54.725,0.5249999999999992,6.0
low<=30_close45-65_green,YES,with25-75,20-25,40,0.65,54.725,0.5249999999999992,6.0
low<=35_close45-65_green,YES,with25-75,20-25,40,0.65,54.725,0.5249999999999992,6.0
low<=40_close45-65_green,YES,with25-75,20-25,40,0.65,54.725,0.5249999999999992,6.0
low<=25_close50-70_green,NO,flat,20-25,90,0.6777777777777778,57.111111111111114,0.4999999999999981,7.0
low<=30_close50-70_green,NO,flat,20-25,90,0.6777777777777778,57.111111111111114,0.4999999999999981,7.0
low<=35_close50-70_green,NO,flat,20-25,90,0.6777777777777778,57.111111111111114,0.4999999999999981,7.0
low<=40_close50-70_green,NO,flat,20-25,90,0.6777777777777778,57.111111111111114,0.4999999999999981,7.0
low<=20_close45-65_green,NO,against>75,<=15,12,0.6666666666666666,56.25,0.4166666666666637,9.0
low<=25_close45-65_green,NO,against>75,<=15,12,0.6666666666666666,56.25,0.4166666666666637,9.0
low<=30_close45-65_green,NO,against>75,<=15,12,0.6666666666666666,56.25,0.4166666666666637,9.0
low<=35_close45-65_green,NO,against>75,<=15,12,0.6666666666666666,56.25,0.4166666666666637,9.0
low<=40_close45-65_green,NO,against>75,<=15,12,0.6666666666666666,56.25,0.4166666666666637,9.0
low<=35_close55-75_green,YES,with>75,30-35,10,0.8,67.7,0.3,6.0
low<=40_close55-75_green,YES,with>75,30-35,10,0.8,67.7,0.3,6.0
low<=20_close55-75_green,NO,against>75,<=15,11,0.7272727272727273,61.54545454545455,0.2727272727272695,9.0
low<=25_close55-75_green,NO,against>75,<=15,11,0.7272727272727273,61.54545454545455,0.2727272727272695,9.0
low<=30_close55-75_green,NO,against>75,<=15,11,0.7272727272727273,61.54545454545455,0.2727272727272695,9.0
low<=35_close55-75_green,NO,against>75,<=15,11,0.7272727272727273,61.54545454545455,0.2727272727272695,9.0
low<=40_close55-75_green,NO,against>75,<=15,11,0.7272727272727273,61.54545454545455,0.2727272727272695,9.0
low<=25_close50-70_green,YES,with25-75,20-25,45,0.6888888888888889,58.422222222222224,0.1333333333333324,6.0
low<=30_close50-70_green,YES,with25-75,20-25,45,0.6888888888888889,58.422222222222224,0.1333333333333324,6.0
low<=35_close50-70_green,YES,with25-75,20-25,45,0.6888888888888889,58.422222222222224,0.1333333333333324,6.0
low<=40_close50-70_green,YES,with25-75,20-25,45,0.6888888888888889,58.422222222222224,0.1333333333333324,6.0
low<=20_close50-70_green,NO,against25-75,15-20,28,0.6785714285714286,57.642857142857146,0.03571428571428419,8.0
low<=25_close50-70_green,NO,against25-75,15-20,28,0.6785714285714286,57.642857142857146,0.03571428571428419,8.0
low<=30_close50-70_green,NO,against25-75,15-20,28,0.6785714285714286,57.642857142857146,0.03571428571428419,8.0
low<=35_close50-70_green,NO,against25-75,15-20,28,0.6785714285714286,57.642857142857146,0.03571428571428419,8.0
low<=40_close50-70_green,NO,against25-75,15-20,28,0.6785714285714286,57.642857142857146,0.03571428571428419,8.0
low<=30_close50-70_green,NO,against>75,25-30,6,0.6666666666666666,56.666666666666664,-1.1842378929335002e-15,7.5
low<=35_close50-70_green,NO,against>75,25-30,6,0.6666666666666666,56.666666666666664,-1.1842378929335002e-15,7.5
low<=40_close50-70_green,NO,against>75,25-30,6,0.6666666666666666,56.666666666666664,-1.1842378929335002e-15,7.5
low<=20_close55-75_green,YES,against25-75,15-20,14,0.7142857142857143,60.785714285714285,-0.07142857142857142,8.5
low<=25_close55-75_green,YES,against25-75,15-20,14,0.7142857142857143,60.785714285714285,-0.07142857142857142,8.5
low<=30_close55-75_green,YES,against25-75,15-20,14,0.7142857142857143,60.785714285714285,-0.07142857142857142,8.5
low<=35_close55-75_green,YES,against25-75,15-20,14,0.7142857142857143,60.785714285714285,-0.07142857142857142,8.5
low<=40_close55-75_green,YES,against25-75,15-20,14,0.7142857142857143,60.785714285714285,-0.07142857142857142,8.5
low<=35_close50-70_green,NO,against25-75,30-35,51,0.6666666666666666,56.745098039215684,-0.07843137254902002,7.0
low<=40_close50-70_green,NO,against25-75,30-35,51,0.6666666666666666,56.745098039215684,-0.07843137254902002,7.0
low<=35_close40-65_green,YES,with25-75,30-35,38,0.6842105263157895,58.421052631578945,-0.2631578947368421,6.0
low<=40_close40-65_green,YES,with25-75,30-35,38,0.6842105263157895,58.421052631578945,-0.2631578947368421,6.0
low<=35_close45-65_green,NO,flat,30-35,198,0.6464646464646465,55.22222222222222,-0.2727272727272748,6.0
low<=40_close45-65_green,NO,flat,30-35,198,0.6464646464646465,55.22222222222222,-0.2727272727272748,6.0
low<=20_close40-65_green,YES,with>75,15-20,3,0.6666666666666666,57.0,-0.333333333333331,6.0
low<=20_close45-65_green,YES,with>75,15-20,3,0.6666666666666666,57.0,-0.333333333333331,6.0
low<=20_close50-70_green,YES,with>75,15-20,3,0.6666666666666666,57.0,-0.333333333333331,6.0
low<=25_close40-65_green,YES,with>75,15-20,3,0.6666666666666666,57.0,-0.333333333333331,6.0
low<=25_close45-65_green,YES,with>75,15-20,3,0.6666666666666666,57.0,-0.333333333333331,6.0
low<=25_close50-70_green,YES,with>75,15-20,3,0.6666666666666666,57.0,-0.333333333333331,6.0
low<=30_close40-65_green,YES,with>75,15-20,3,0.6666666666666666,57.0,-0.333333333333331,6.0
low<=30_close45-65_green,YES,with>75,15-20,3,0.6666666666666666,57.0,-0.333333333333331,6.0
low<=30_close50-70_green,YES,with>75,15-20,3,0.6666666666666666,57.0,-0.333333333333331,6.0
low<=35_close40-65_green,YES,with>75,15-20,3,0.6666666666666666,57.0,-0.333333333333331,6.0
low<=35_close45-65_green,YES,with>75,15-20,3,0.6666666666666666,57.0,-0.333333333333331,6.0
low<=35_close50-70_green,YES,with>75,15-20,3,0.6666666666666666,57.0,-0.333333333333331,6.0
low<=40_close40-65_green,YES,with>75,15-20,3,0.6666666666666666,57.0,-0.333333333333331,6.0
low<=40_close45-65_green,YES,with>75,15-20,3,0.6666666666666666,57.0,-0.333333333333331,6.0
low<=40_close50-70_green,YES,with>75,15-20,3,0.6666666666666666,57.0,-0.333333333333331,6.0
low<=20_close55-75_green,YES,flat,15-20,58,0.7413793103448276,63.41379310344828,-0.39655172413793116,8.0
low<=25_close55-75_green,YES,flat,15-20,58,0.7413793103448276,63.41379310344828,-0.39655172413793116,8.0
low<=30_close55-75_green,YES,flat,15-20,58,0.7413793103448276,63.41379310344828,-0.39655172413793116,8.0
low<=35_close55-75_green,YES,flat,15-20,58,0.7413793103448276,63.41379310344828,-0.39655172413793116,8.0
low<=40_close55-75_green,YES,flat,15-20,58,0.7413793103448276,63.41379310344828,-0.39655172413793116,8.0
low<=25_close55-75_green,YES,against25-75,20-25,22,0.7272727272727273,62.31818181818182,-0.49999999999999933,8.0
low<=30_close55-75_green,YES,against25-75,20-25,22,0.7272727272727273,62.31818181818182,-0.49999999999999933,8.0
low<=35_close55-75_green,YES,against25-75,20-25,22,0.7272727272727273,62.31818181818182,-0.49999999999999933,8.0
low<=40_close55-75_green,YES,against25-75,20-25,22,0.7272727272727273,62.31818181818182,-0.49999999999999933,8.0
low<=35_close40-65_green,NO,with25-75,30-35,36,0.6666666666666666,57.22222222222222,-0.5555555555555574,6.0
low<=40_close40-65_green,NO,with25-75,30-35,36,0.6666666666666666,57.22222222222222,-0.5555555555555574,6.0
low<=30_close45-65_green,YES,flat,25-30,153,0.6143790849673203,52.86274509803921,-0.6405228758169939,7.0
low<=35_close45-65_green,YES,flat,25-30,153,0.6143790849673203,52.86274509803921,-0.6405228758169939,7.0
low<=40_close45-65_green,YES,flat,25-30,153,0.6143790849673203,52.86274509803921,-0.6405228758169939,7.0
low<=35_close55-75_green,NO,flat,30-35,217,0.7327188940092166,62.92626728110599,-0.6451612903225827,7.0
low<=40_close55-75_green,NO,flat,30-35,217,0.7327188940092166,62.92626728110599,-0.6451612903225827,7.0
low<=20_close55-75_green,YES,with>75,15-20,4,0.75,64.5,-0.7499999999999982,6.5
low<=25_close55-75_green,YES,with>75,15-20,4,0.75,64.5,-0.7499999999999982,6.5
low<=30_close55-75_green,YES,with>75,15-20,4,0.75,64.5,-0.7499999999999982,6.5
low<=35_close55-75_green,YES,with>75,15-20,4,0.75,64.5,-0.7499999999999982,6.5
low<=40_close55-75_green,YES,with>75,15-20,4,0.75,64.5,-0.7499999999999982,6.5
low<=25_close40-65_green,YES,against25-75,20-25,48,0.5625,48.583333333333336,-0.770833333333333,8.0
low<=30_close40-65_green,YES,against25-75,20-25,48,0.5625,48.583333333333336,-0.770833333333333,8.0
low<=35_close40-65_green,YES,against25-75,20-25,48,0.5625,48.583333333333336,-0.770833333333333,8.0
low<=40_close40-65_green,YES,against25-75,20-25,48,0.5625,48.583333333333336,-0.770833333333333,8.0
low<=20_close50-70_green,NO,flat,15-20,69,0.6811594202898551,58.710144927536234,-0.8115942028985514,8.0
low<=25_close50-70_green,NO,flat,15-20,69,0.6811594202898551,58.710144927536234,-0.8115942028985514,8.0
low<=30_close50-70_green,NO,flat,15-20,69,0.6811594202898551,58.710144927536234,-0.8115942028985514,8.0
low<=35_close50-70_green,NO,flat,15-20,69,0.6811594202898551,58.710144927536234,-0.8115942028985514,8.0
low<=40_close50-70_green,NO,flat,15-20,69,0.6811594202898551,58.710144927536234,-0.8115942028985514,8.0
low<=20_close55-75_green,NO,flat,15-20,58,0.7413793103448276,63.91379310344828,-0.8965517241379319,8.0
low<=25_close55-75_green,NO,flat,15-20,58,0.7413793103448276,63.91379310344828,-0.8965517241379319,8.0
low<=30_close55-75_green,NO,flat,15-20,58,0.7413793103448276,63.91379310344828,-0.8965517241379319,8.0
low<=35_close55-75_green,NO,flat,15-20,58,0.7413793103448276,63.91379310344828,-0.8965517241379319,8.0
low<=40_close55-75_green,NO,flat,15-20,58,0.7413793103448276,63.91379310344828,-0.8965517241379319,8.0
low<=35_close55-75_green,NO,against25-75,30-35,44,0.7272727272727273,62.75,-0.9318181818181823,8.0
low<=40_close55-75_green,NO,against25-75,30-35,44,0.7272727272727273,62.75,-0.9318181818181823,8.0
low<=35_close50-70_green,NO,flat,30-35,208,0.6778846153846154,58.72115384615385,-1.1009615384615403,7.0
low<=40_close50-70_green,NO,flat,30-35,208,0.6778846153846154,58.72115384615385,-1.1009615384615403,7.0
low<=20_close50-70_green,NO,flat,<=15,27,0.6666666666666666,57.77777777777778,-1.111111111111113,7.0
low<=25_close50-70_green,NO,flat,<=15,27,0.6666666666666666,57.77777777777778,-1.111111111111113,7.0
low<=30_close50-70_green,NO,flat,<=15,27,0.6666666666666666,57.77777777777778,-1.111111111111113,7.0
low<=35_close50-70_green,NO,flat,<=15,27,0.6666666666666666,57.77777777777778,-1.111111111111113,7.0
low<=40_close50-70_green,NO,flat,<=15,27,0.6666666666666666,57.77777777777778,-1.111111111111113,7.0
low<=30_close55-75_green,YES,flat,25-30,131,0.7099236641221374,61.54961832061068,-1.2061068702290083,7.0
low<=35_close55-75_green,YES,flat,25-30,131,0.7099236641221374,61.54961832061068,-1.2061068702290083,7.0
low<=40_close55-75_green,YES,flat,25-30,131,0.7099236641221374,61.54961832061068,-1.2061068702290083,7.0
low<=20_close55-75_green,YES,with25-75,15-20,34,0.7352941176470589,63.8235294117647,-1.3235294117647056,7.0
low<=25_close55-75_green,YES,with25-75,15-20,34,0.7352941176470589,63.8235294117647,-1.3235294117647056,7.0
low<=30_close55-75_green,YES,with25-75,15-20,34,0.7352941176470589,63.8235294117647,-1.3235294117647056,7.0
low<=35_close55-75_green,YES,with25-75,15-20,34,0.7352941176470589,63.8235294117647,-1.3235294117647056,7.0
low<=40_close55-75_green,YES,with25-75,15-20,34,0.7352941176470589,63.8235294117647,-1.3235294117647056,7.0
low<=40_close40-65_green,NO,flat,35+,153,0.6274509803921569,54.66013071895425,-1.3267973856209165,6.0
low<=35_close40-65_green,NO,flat,30-35,230,0.5956521739130435,51.982608695652175,-1.3521739130434798,6.0
low<=40_close40-65_green,NO,flat,30-35,230,0.5956521739130435,51.982608695652175,-1.3521739130434798,6.0
low<=20_close40-65_green,YES,flat,15-20,85,0.5529411764705883,48.38823529411765,-1.388235294117647,7.0
low<=25_close40-65_green,YES,flat,15-20,85,0.5529411764705883,48.38823529411765,-1.388235294117647,7.0
low<=30_close40-65_green,YES,flat,15-20,85,0.5529411764705883,48.38823529411765,-1.388235294117647,7.0
low<=35_close40-65_green,YES,flat,15-20,85,0.5529411764705883,48.38823529411765,-1.388235294117647,7.0
low<=40_close40-65_green,YES,flat,15-20,85,0.5529411764705883,48.38823529411765,-1.388235294117647,7.0
low<=30_close45-65_green,NO,flat,25-30,116,0.6206896551724138,54.23275862068966,-1.4741379310344846,7.0
low<=35_close45-65_green,NO,flat,25-30,116,0.6206896551724138,54.23275862068966,-1.4741379310344846,7.0
low<=40_close45-65_green,NO,flat,25-30,116,0.6206896551724138,54.23275862068966,-1.4741379310344846,7.0
low<=30_close50-70_green,YES,flat,25-30,155,0.6580645161290323,57.458064516129035,-1.5225806451612907,7.0
low<=35_close50-70_green,YES,flat,25-30,155,0.6580645161290323,57.458064516129035,-1.5225806451612907,7.0
low<=40_close50-70_green,YES,flat,25-30,155,0.6580645161290323,57.458064516129035,-1.5225806451612907,7.0
low<=20_close55-75_green,NO,against25-75,<=15,18,0.7222222222222222,63.111111111111114,-1.7222222222222234,9.0
low<=25_close55-75_green,NO,against25-75,<=15,18,0.7222222222222222,63.111111111111114,-1.7222222222222234,9.0
low<=30_close55-75_green,NO,against25-75,<=15,18,0.7222222222222222,63.111111111111114,-1.7222222222222234,9.0
low<=35_close55-75_green,NO,against25-75,<=15,18,0.7222222222222222,63.111111111111114,-1.7222222222222234,9.0
low<=40_close55-75_green,NO,against25-75,<=15,18,0.7222222222222222,63.111111111111114,-1.7222222222222234,9.0
low<=30_close40-65_green,NO,flat,25-30,143,0.5734265734265734,50.53846153846154,-1.797202797202798,6.0
low<=35_close40-65_green,NO,flat,25-30,143,0.5734265734265734,50.53846153846154,-1.797202797202798,6.0
low<=40_close40-65_green,NO,flat,25-30,143,0.5734265734265734,50.53846153846154,-1.797202797202798,6.0
low<=40_close45-65_green,NO,flat,35+,144,0.6388888888888888,56.173611111111114,-1.8680555555555576,6.0
low<=30_close55-75_green,NO,against25-75,25-30,21,0.7142857142857143,62.61904761904762,-1.9047619047619069,8.0
low<=35_close55-75_green,NO,against25-75,25-30,21,0.7142857142857143,62.61904761904762,-1.9047619047619069,8.0
low<=40_close55-75_green,NO,against25-75,25-30,21,0.7142857142857143,62.61904761904762,-1.9047619047619069,8.0
low<=35_close50-70_green,YES,with>75,30-35,8,0.75,65.75,-2.0,6.0
low<=40_close50-70_green,YES,with>75,30-35,8,0.75,65.75,-2.0,6.0
low<=30_close40-65_green,NO,with>75,25-30,3,0.6666666666666666,58.66666666666668,-2.000000000000007,6.0
low<=30_close45-65_green,NO,with>75,25-30,3,0.6666666666666666,58.66666666666668,-2.000000000000007,6.0
low<=35_close40-65_green,NO,with>75,25-30,3,0.6666666666666666,58.66666666666668,-2.000000000000007,6.0
low<=35_close45-65_green,NO,with>75,25-30,3,0.6666666666666666,58.66666666666668,-2.000000000000007,6.0
low<=40_close40-65_green,NO,with>75,25-30,3,0.6666666666666666,58.66666666666668,-2.000000000000007,6.0
low<=40_close45-65_green,NO,with>75,25-30,3,0.6666666666666666,58.66666666666668,-2.000000000000007,6.0
low<=40_close50-70_green,YES,with25-75,35+,32,0.71875,63.3125,-2.21875,6.0
low<=25_close55-75_green,NO,flat,20-25,77,0.7142857142857143,62.98701298701299,-2.272727272727275,8.0
low<=30_close55-75_green,NO,flat,20-25,77,0.7142857142857143,62.98701298701299,-2.272727272727275,8.0
low<=35_close55-75_green,NO,flat,20-25,77,0.7142857142857143,62.98701298701299,-2.272727272727275,8.0
low<=40_close55-75_green,NO,flat,20-25,77,0.7142857142857143,62.98701298701299,-2.272727272727275,8.0
low<=20_close40-65_green,NO,flat,<=15,28,0.5714285714285714,50.857142857142854,-2.285714285714288,8.0
low<=25_close40-65_green,NO,flat,<=15,28,0.5714285714285714,50.857142857142854,-2.285714285714288,8.0
low<=30_close40-65_green,NO,flat,<=15,28,0.5714285714285714,50.857142857142854,-2.285714285714288,8.0
low<=35_close40-65_green,NO,flat,<=15,28,0.5714285714285714,50.857142857142854,-2.285714285714288,8.0
low<=40_close40-65_green,NO,flat,<=15,28,0.5714285714285714,50.857142857142854,-2.285714285714288,8.0
low<=35_close45-65_green,NO,with25-75,30-35,35,0.6571428571428571,58.34285714285714,-2.4857142857142875,6.0
low<=40_close45-65_green,NO,with25-75,30-35,35,0.6571428571428571,58.34285714285714,-2.4857142857142875,6.0
low<=30_close40-65_green,YES,flat,25-30,174,0.5632183908045977,50.37356321839081,-2.5000000000000004,6.0
low<=35_close40-65_green,YES,flat,25-30,174,0.5632183908045977,50.37356321839081,-2.5000000000000004,6.0
low<=40_close40-65_green,YES,flat,25-30,174,0.5632183908045977,50.37356321839081,-2.5000000000000004,6.0
low<=20_close55-75_green,YES,against25-75,<=15,18,0.7222222222222222,64.0,-2.6111111111111116,9.0
low<=25_close55-75_green,YES,against25-75,<=15,18,0.7222222222222222,64.0,-2.6111111111111116,9.0
low<=30_close55-75_green,YES,against25-75,<=15,18,0.7222222222222222,64.0,-2.6111111111111116,9.0
low<=35_close55-75_green,YES,against25-75,<=15,18,0.7222222222222222,64.0,-2.6111111111111116,9.0
low<=40_close55-75_green,YES,against25-75,<=15,18,0.7222222222222222,64.0,-2.6111111111111116,9.0
low<=20_close55-75_green,NO,with>75,15-20,11,0.7272727272727273,64.45454545454545,-2.636363636363637,6.0
low<=25_close55-75_green,NO,with>75,15-20,11,0.7272727272727273,64.45454545454545,-2.636363636363637,6.0
low<=30_close55-75_green,NO,with>75,15-20,11,0.7272727272727273,64.45454545454545,-2.636363636363637,6.0
low<=35_close55-75_green,NO,with>75,15-20,11,0.7272727272727273,64.45454545454545,-2.636363636363637,6.0
low<=40_close55-75_green,NO,with>75,15-20,11,0.7272727272727273,64.45454545454545,-2.636363636363637,6.0
low<=35_close55-75_green,YES,flat,30-35,160,0.70625,62.775,-2.74375,7.0
low<=40_close55-75_green,YES,flat,30-35,160,0.70625,62.775,-2.74375,7.0
low<=35_close40-65_green,NO,against>75,30-35,8,0.5,45.25,-2.7500000000000036,7.0
low<=40_close40-65_green,NO,against>75,30-35,8,0.5,45.25,-2.7500000000000036,7.0
low<=30_close50-70_green,NO,flat,25-30,123,0.6585365853658537,58.78048780487805,-2.8048780487804894,7.0
low<=35_close50-70_green,NO,flat,25-30,123,0.6585365853658537,58.78048780487805,-2.8048780487804894,7.0
low<=40_close50-70_green,NO,flat,25-30,123,0.6585365853658537,58.78048780487805,-2.8048780487804894,7.0
low<=35_close55-75_green,NO,with25-75,30-35,77,0.7532467532467533,66.97402597402598,-2.948051948051948,6.0
