rule,side,btc_signed_bin,early_low_bin,trades,hit85,avg_entry_c,avg_pnl85_c,median_entry_minute
low<=40_close45-65_green,YES,with25-75,<=15,12,0.8333333333333334,52.75,18.083333333333332,6.0
low<=35_close55-75_green,NO,against>75,30-35,5,1.0,67.0,18.0,8.0
low<=40_close55-75_green,NO,against>75,30-35,5,1.0,67.0,18.0,8.0
low<=20_close45-65_green,YES,with>75,<=15,8,0.875,57.125,17.250000000000004,6.0
low<=25_close45-65_green,YES,with>75,<=15,8,0.875,57.125,17.250000000000004,6.0
low<=30_close45-65_green,YES,with>75,<=15,8,0.875,57.125,17.250000000000004,6.0
low<=35_close45-65_green,YES,with>75,<=15,8,0.875,57.125,17.250000000000004,6.0
low<=40_close45-65_green,YES,with>75,<=15,8,0.875,57.125,17.250000000000004,6.0
low<=40_close55-75_green,NO,with>75,35+,8,1.0,69.125,15.875,6.5
low<=20_close50-70_green,YES,with25-75,<=15,12,0.8333333333333334,57.0,13.833333333333334,6.5
low<=25_close50-70_green,YES,with25-75,<=15,12,0.8333333333333334,57.0,13.833333333333334,6.5
low<=30_close50-70_green,YES,with25-75,<=15,12,0.8333333333333334,57.0,13.833333333333334,6.5
low<=35_close50-70_green,YES,with25-75,<=15,12,0.8333333333333334,57.0,13.833333333333334,6.5
low<=40_close50-70_green,YES,with25-75,<=15,12,0.8333333333333334,57.0,13.833333333333334,6.5
low<=25_close55-75_green,YES,against>75,20-25,8,0.875,60.625,13.750000000000004,8.5
low<=30_close55-75_green,YES,against>75,20-25,8,0.875,60.625,13.750000000000004,8.5
low<=35_close55-75_green,YES,against>75,20-25,8,0.875,60.625,13.750000000000004,8.5
low<=40_close55-75_green,YES,against>75,20-25,8,0.875,60.625,13.750000000000004,8.5
low<=25_close45-65_green,YES,against>75,20-25,9,0.7777777777777778,52.77777777777778,13.333333333333334,8.0
low<=30_close45-65_green,YES,against>75,20-25,9,0.7777777777777778,52.77777777777778,13.333333333333334,8.0
low<=35_close45-65_green,YES,against>75,20-25,9,0.7777777777777778,52.77777777777778,13.333333333333334,8.0
low<=40_close45-65_green,YES,against>75,20-25,9,0.7777777777777778,52.77777777777778,13.333333333333334,8.0
low<=20_close50-70_green,YES,against>75,15-20,10,0.8,54.9,13.1,9.0
low<=25_close50-70_green,YES,against>75,15-20,10,0.8,54.9,13.1,9.0
low<=30_close50-70_green,YES,against>75,15-20,10,0.8,54.9,13.1,9.0
low<=35_close50-70_green,YES,against>75,15-20,10,0.8,54.9,13.1,9.0
low<=40_close50-70_green,YES,against>75,15-20,10,0.8,54.9,13.1,9.0
low<=20_close40-65_green,YES,with>75,<=15,9,0.7777777777777778,53.77777777777778,12.333333333333336,6.0
low<=25_close40-65_green,YES,with>75,<=15,9,0.7777777777777778,53.77777777777778,12.333333333333336,6.0
low<=30_close40-65_green,YES,with>75,<=15,9,0.7777777777777778,53.77777777777778,12.333333333333336,6.0
low<=35_close40-65_green,YES,with>75,<=15,9,0.7777777777777778,53.77777777777778,12.333333333333336,6.0
low<=40_close40-65_green,YES,with>75,<=15,9,0.7777777777777778,53.77777777777778,12.333333333333336,6.0
low<=25_close45-65_green,NO,against>75,20-25,9,0.7777777777777778,54.111111111111114,11.999999999999998,9.0
low<=30_close45-65_green,NO,against>75,20-25,9,0.7777777777777778,54.111111111111114,11.999999999999998,9.0
low<=35_close45-65_green,NO,against>75,20-25,9,0.7777777777777778,54.111111111111114,11.999999999999998,9.0
low<=40_close45-65_green,NO,against>75,20-25,9,0.7777777777777778,54.111111111111114,11.999999999999998,9.0
low<=25_close40-65_green,NO,against>75,20-25,11,0.7272727272727273,50.09090909090909,11.727272727272727,9.0
low<=30_close40-65_green,NO,against>75,20-25,11,0.7272727272727273,50.09090909090909,11.727272727272727,9.0
low<=35_close40-65_green,NO,against>75,20-25,11,0.7272727272727273,50.09090909090909,11.727272727272727,9.0
low<=40_close40-65_green,NO,against>75,20-25,11,0.7272727272727273,50.09090909090909,11.727272727272727,9.0
low<=20_close45-65_green,YES,against25-75,15-20,18,0.7777777777777778,55.333333333333336,10.777777777777779,8.0
low<=25_close45-65_green,YES,against25-75,15-20,18,0.7777777777777778,55.333333333333336,10.777777777777779,8.0
low<=30_close45-65_green,YES,against25-75,15-20,18,0.7777777777777778,55.333333333333336,10.777777777777779,8.0
low<=35_close45-65_green,YES,against25-75,15-20,18,0.7777777777777778,55.333333333333336,10.777777777777779,8.0
low<=40_close45-65_green,YES,against25-75,15-20,18,0.7777777777777778,55.333333333333336,10.777777777777779,8.0
low<=20_close40-65_green,YES,against25-75,15-20,24,0.7083333333333334,49.625,10.583333333333334,8.0
low<=25_close40-65_green,YES,against25-75,15-20,24,0.7083333333333334,49.625,10.583333333333334,8.0
low<=30_close40-65_green,YES,against25-75,15-20,24,0.7083333333333334,49.625,10.583333333333334,8.0
low<=35_close40-65_green,YES,against25-75,15-20,24,0.7083333333333334,49.625,10.583333333333334,8.0
low<=40_close40-65_green,YES,against25-75,15-20,24,0.7083333333333334,49.625,10.583333333333334,8.0
low<=20_close50-70_green,YES,against25-75,15-20,15,0.8,57.53333333333333,10.466666666666667,8.0
low<=25_close50-70_green,YES,against25-75,15-20,15,0.8,57.53333333333333,10.466666666666667,8.0
