pred_col,threshold,trades,avg_cost,hit99,settle_win,avg_pnl_99_c,avg_pnl_hold_c,median_minutes99,yes_share
pred_hit99_logit,0.54,704,0.5602698863636364,0.5667613636363636,0.5582386363636364,0.08238636363636011,-0.20312500000000275,9.0,0.3934659090909091
pred_hit99_logit,0.55,570,0.5645438596491228,0.5701754385964912,0.5614035087719298,-0.007017543859652401,-0.3140350877193012,9.0,0.37719298245614036
pred_hit99_logit,0.56,466,0.566587982832618,0.572961373390558,0.5665236051502146,0.06437768240342981,-0.006437768240345879,9.0,0.3540772532188841
pred_hit99_logit,0.57,359,0.5683844011142062,0.584958217270195,0.5793871866295265,1.0724233983286868,1.1002785515320304,9.0,0.33147632311977715
pred_hit99_logit,0.58,268,0.5713432835820896,0.6082089552238806,0.6007462686567164,3.07835820895522,2.940298507462683,9.0,0.3283582089552239
pred_hit99_logit,0.59,202,0.5714356435643565,0.6386138613861386,0.6287128712871287,6.079207920792074,5.727722772277224,9.0,0.3069306930693069
pred_hit99_logit,0.6,140,0.5732857142857144,0.6571428571428571,0.6428571428571429,7.728571428571423,6.957142857142854,9.0,0.2642857142857143
pred_hit99_logit,0.61,92,0.5736956521739132,0.717391304347826,0.6956521739130435,13.652173913043475,12.195652173913041,9.0,0.1956521739130435
pred_hit99_logit,0.62,55,0.572909090909091,0.7090909090909091,0.6727272727272727,12.909090909090907,9.981818181818177,9.0,0.16363636363636364
pred_hit99_logit,0.63,37,0.5700000000000001,0.7297297297297297,0.7297297297297297,15.24324324324324,15.97297297297297,9.0,0.21621621621621623
pred_hit99_logit,0.64,28,0.5735714285714286,0.6785714285714286,0.6785714285714286,9.821428571428562,10.499999999999995,9.0,0.17857142857142858
pred_hit99_logit,0.65,17,0.5729411764705884,0.5882352941176471,0.5882352941176471,0.9411764705882283,1.5294117647058758,9.5,0.11764705882352941
pred_hit99_logit,0.66,13,0.5746153846153846,0.6153846153846154,0.6153846153846154,3.461538461538454,4.07692307692307,9.0,0.15384615384615385
pred_hit99_logit,0.67,7,0.5700000000000001,0.7142857142857143,0.7142857142857143,13.714285714285706,14.428571428571422,9.0,0.2857142857142857
pred_hit99_logit,0.68,5,0.5640000000000001,0.6,0.6,2.999999999999994,3.5999999999999943,9.0,0.4
