mode,setups,hit60_bid,hit60_ask,avg_dip_price,avg_ask_close,avg_spread_c,median_spread_c,p75_spread_c,avg_gross_to_60_c,median_minutes_to_60_bid,yes_share,table,side,dip_minute,dip_minute_bin,spread_bin,dip_price_bin,prior_high_bin
close,5471,0.3781758362273807,0.39097057210747577,0.2534033997441053,0.2534033997441053,1.032169621641382,1.0000000000000009,1.0000000000000009,34.659660025589474,4.0,0.5218424419667337,overall,,,,,,
touch,6366,0.4855482249450204,0.4992145774426642,0.2545900094250707,0.31571630537229034,1.0373861137291864,1.0000000000000009,1.0000000000000009,28.42836946277097,4.0,0.5168080427269871,overall,,,,,,
close,2616,0.3872324159021407,0.39984709480122327,0.254032874617737,0.254032874617737,1.0409021406727839,1.0000000000000009,1.0000000000000009,34.5967125382263,4.0,0.0,by_side,NO,,,,,
close,2855,0.369877408056042,0.3828371278458844,0.25282661996497374,0.25282661996497374,1.0241681260945705,1.0000000000000009,1.0000000000000009,34.717338003502626,5.0,1.0,by_side,YES,,,,,
touch,3076,0.4944733420026008,0.5078023407022106,0.25563719115734723,0.3191222366710013,1.0393368010403123,1.0000000000000009,1.0000000000000009,28.087776332899864,4.0,0.0,by_side,NO,,,,,
touch,3290,0.47720364741641336,0.4911854103343465,0.25361094224924013,0.31253191489361704,1.0355623100303948,1.0000000000000009,1.0000000000000009,28.7468085106383,4.0,1.0,by_side,YES,,,,,
close,525,0.41333333333333333,0.43238095238095237,0.25841904761904766,0.25841904761904766,1.0266666666666666,1.0000000000000009,1.0000000000000009,34.158095238095235,6.0,0.5142857142857142,by_dip_minute,,1.0,,,,
close,816,0.41911764705882354,0.4338235294117647,0.25590686274509805,0.25590686274509805,1.0232843137254903,1.0000000000000009,1.0000000000000009,34.40931372549019,6.0,0.5269607843137255,by_dip_minute,,2.0,,,,
close,743,0.3835800807537012,0.3943472409152086,0.25585464333781965,0.25585464333781965,1.0296096904441456,1.0000000000000009,1.0000000000000009,34.414535666218036,5.0,0.5262449528936743,by_dip_minute,,3.0,,,,
close,675,0.3851851851851852,0.3940740740740741,0.2535407407407408,0.2535407407407408,1.02962962962963,1.0000000000000009,1.0000000000000009,34.64592592592592,5.0,0.5066666666666667,by_dip_minute,,4.0,,,,
close,585,0.38461538461538464,0.38803418803418804,0.25348717948717947,0.25348717948717947,1.0444444444444447,1.0000000000000009,1.0000000000000009,34.65128205128205,4.0,0.5384615384615384,by_dip_minute,,5.0,,,,
close,571,0.3502626970227671,0.36427320490367776,0.2507880910683012,0.2507880910683012,1.0122591943957973,1.0000000000000009,1.0000000000000009,34.92119089316988,4.0,0.5551663747810858,by_dip_minute,,6.0,,,,
close,485,0.334020618556701,0.33814432989690724,0.24989690721649485,0.24989690721649485,1.0453608247422683,1.0000000000000009,1.0000000000000009,35.01030927835052,3.5,0.47010309278350515,by_dip_minute,,7.0,,,,
close,433,0.3210161662817552,0.3441108545034642,0.24958429561200926,0.24958429561200926,1.0323325635103928,1.0000000000000009,1.0000000000000009,35.04157043879908,4.0,0.5219399538106235,by_dip_minute,,8.0,,,,
close,329,0.39209726443769,0.41033434650455924,0.25148936170212766,0.25148936170212766,1.0607902735562313,1.0000000000000009,1.0000000000000009,34.851063829787236,3.0,0.5075987841945289,by_dip_minute,,9.0,,,,
close,309,0.3559870550161812,0.37540453074433655,0.2496440129449838,0.2496440129449838,1.0388349514563109,1.0000000000000009,1.0000000000000009,35.03559870550162,2.0,0.5469255663430421,by_dip_minute,,10.0,,,,
touch,964,0.524896265560166,0.5414937759336099,0.2588900414937759,0.3188692946058091,1.0446058091286308,1.0000000000000009,1.0000000000000009,28.113070539419084,5.0,0.533195020746888,by_dip_minute,,1.0,,,,
touch,1109,0.48872858431018934,0.4995491433724076,0.25724977457168624,0.3053381424706943,1.0225428313796212,1.0000000000000009,1.0000000000000009,29.466185752930564,5.0,0.5256988277727682,by_dip_minute,,2.0,,,,
touch,921,0.4831704668838219,0.500542888165038,0.2557980456026059,0.31226927252985887,1.0314875135722041,1.0000000000000009,1.0000000000000009,28.773072747014112,4.0,0.509229098805646,by_dip_minute,,3.0,,,,
touch,769,0.4811443433029909,0.49024707412223667,0.25400520156046813,0.30937581274382314,1.0390117035110533,1.0000000000000009,1.0000000000000009,29.062418725617686,4.0,0.5123537061118335,by_dip_minute,,4.0,,,,
touch,652,0.4754601226993865,0.48466257668711654,0.25294478527607367,0.31458588957055217,1.0383435582822087,1.0000000000000009,1.0000000000000009,28.541411042944784,4.0,0.5153374233128835,by_dip_minute,,5.0,,,,
touch,536,0.4552238805970149,0.46828358208955223,0.2510820895522388,0.3155223880597015,1.0429104477611941,1.0000000000000009,1.0000000000000009,28.447761194029848,3.0,0.5279850746268657,by_dip_minute,,6.0,,,,
touch,457,0.43544857768052514,0.44638949671772427,0.25172866520787746,0.3166958424507658,1.0437636761487967,1.0000000000000009,1.0000000000000009,28.33041575492341,3.0,0.48358862144420134,by_dip_minute,,7.0,,,,
touch,394,0.4873096446700508,0.5025380710659898,0.2510659898477157,0.3270558375634518,1.045685279187817,1.0000000000000009,1.0000000000000009,27.294416243654823,2.0,0.5329949238578681,by_dip_minute,,8.0,,,,
touch,307,0.501628664495114,0.5211726384364821,0.2518892508143322,0.3285016286644951,1.0488599348534202,1.0000000000000009,1.0000000000000009,27.149837133550488,2.0,0.46254071661237783,by_dip_minute,,9.0,,,,
touch,257,0.5019455252918288,0.5252918287937743,0.24961089494163427,0.3488715953307393,1.0389105058365762,1.0000000000000009,1.0000000000000009,25.112840466926066,1.0,0.5369649805447471,by_dip_minute,,10.0,,,,
close,1341,0.4168530947054437,0.4332587621178225,0.2568903803131991,0.2568903803131991,1.0246085011185684,1.0000000000000009,1.0000000000000009,34.31096196868009,6.0,0.5219985085756897,by_dip_minute_bin,,,m1-2,,,
close,1418,0.3843441466854725,0.3942172073342736,0.25475317348377996,0.25475317348377996,1.0296191819464038,1.0000000000000009,1.0000000000000009,34.524682651622,5.0,0.5169252468265162,by_dip_minute_bin,,,m3-4,,,
close,1156,0.36764705882352944,0.3762975778546713,0.2521539792387543,0.2521539792387543,1.0285467128027685,1.0000000000000009,1.0000000000000009,34.784602076124564,4.0,0.5467128027681661,by_dip_minute_bin,,,m5-6,,,
close,918,0.32788671023965144,0.340958605664488,0.24974945533769063,0.24974945533769063,1.03921568627451,1.0000000000000009,1.0000000000000009,35.025054466230934,4.0,0.49455337690631807,by_dip_minute_bin,,,m7-8,,,
close,638,0.37460815047021945,0.3934169278996865,0.2505956112852665,0.2505956112852665,1.0501567398119127,1.0000000000000009,1.0000000000000009,34.940438871473354,2.0,0.5266457680250783,by_dip_minute_bin,,,m9-10,,,
touch,2073,0.5055475156777617,0.5190545103714423,0.25801254220935843,0.3116304872165943,1.0328027013989387,1.0000000000000009,1.0000000000000009,28.836951278340567,5.0,0.5291847563917028,by_dip_minute_bin,,,m1-2,,,
touch,1690,0.4822485207100592,0.4958579881656805,0.25498224852071005,0.3109526627218935,1.0349112426035505,1.0000000000000009,1.0000000000000009,28.904733727810648,4.0,0.5106508875739645,by_dip_minute_bin,,,m3-4,,,
touch,1188,0.4663299663299663,0.4772727272727273,0.2521043771043771,0.3150084175084175,1.0404040404040404,1.0000000000000009,1.0000000000000009,28.49915824915825,3.0,0.5210437710437711,by_dip_minute_bin,,,m5-6,,,
touch,851,0.4594594594594595,0.47238542890716806,0.25142185663924793,0.32149236192714453,1.0446533490011751,1.0000000000000009,1.0000000000000009,27.850763807285546,3.0,0.5064629847238543,by_dip_minute_bin,,,m7-8,,,
touch,564,0.50177304964539,0.5230496453900709,0.2508510638297872,0.3377836879432624,1.0443262411347518,1.0000000000000009,1.0000000000000009,26.221631205673756,2.0,0.49645390070921985,by_dip_minute_bin,,,m9-10,,,
close,870,0.3816091954022989,0.39195402298850573,0.25601149425287356,0.25601149425287356,0.9999999999999967,0.9999999999999981,0.9999999999999981,34.39885057471265,5.0,1.0,by_spread_bin,,,,<=1c,,
close,4450,0.37820224719101125,0.39146067415730335,0.25280674157303373,0.25280674157303373,1.00494382022472,1.0000000000000009,1.0000000000000009,34.71932584269663,4.0,0.43550561797752807,by_spread_bin,,,,1-2c,,
close,151,0.3576158940397351,0.3708609271523179,0.25596026490066226,0.25596026490066226,2.019867549668876,2.0000000000000018,2.0000000000000018,34.40397350993378,4.0,0.31125827814569534,by_spread_bin,,,,2-5c,,
touch,868,0.4642857142857143,0.47580645161290325,0.25526497695852535,0.30536866359447007,0.999999999999995,0.9999999999999953,0.9999999999999981,29.463133640552996,4.0,0.7891705069124424,by_spread_bin,,,,<=1c,,
touch,5316,0.4894657637321294,0.5033860045146726,0.25449962377727614,0.3168792325056433,1.0090293453724613,1.0000000000000009,1.0000000000000009,28.312076749435665,4.0,0.4744168547780286,by_spread_bin,,,,1-2c,,
touch,182,0.4725274725274725,0.489010989010989,0.254010989010989,0.3310989010989011,2.0439560439560456,2.0000000000000018,2.0000000000000018,26.890109890109883,3.0,0.45604395604395603,by_spread_bin,,,,2-5c,,
close,1557,0.32048811817597944,0.3346178548490687,0.2182723185613359,0.2182723185613359,1.0256904303147083,1.0000000000000009,1.0000000000000009,38.172768143866406,5.0,0.5285806037251124,by_dip_price_bin,,,,,20-23c,
close,1736,0.37557603686635943,0.3836405529953917,0.2510771889400922,0.2510771889400922,1.0351382488479268,1.0000000000000009,1.0000000000000009,34.89228110599078,4.5,0.5230414746543779,by_dip_price_bin,,,,,23-26c,
close,2178,0.4214876033057851,0.43709825528007346,0.2803719008264463,0.2803719008264463,1.0344352617079888,1.0000000000000009,1.0000000000000009,31.962809917355365,4.0,0.5160697887970616,by_dip_price_bin,,,,,26-30c,
touch,1716,0.4172494172494173,0.4358974358974359,0.2179254079254079,0.2777039627039627,1.0407925407925411,1.0000000000000009,1.0000000000000009,32.22960372960373,4.0,0.5378787878787878,by_dip_price_bin,,,,,20-23c,
touch,2054,0.4824732229795521,0.49513145082765336,0.25214703018500484,0.3118646543330088,1.0345666991236613,1.0000000000000009,1.0000000000000009,28.81353456669912,4.0,0.5111976630963972,by_dip_price_bin,,,,,23-26c,
touch,2596,0.5331278890600925,0.5442989214175655,0.2807588597842835,0.34389060092449925,1.0373651771956853,1.0000000000000009,1.0000000000000009,25.610939907550073,3.0,0.5073189522342064,by_dip_price_bin,,,,,26-30c,
close,3,0.0,0.0,0.27,0.27,1.0000000000000009,1.0000000000000009,1.0000000000000009,33.0,,0.3333333333333333,by_prior_high_bin,,,,,,40-60c
close,179,0.41899441340782123,0.4301675977653631,0.2517877094972067,0.2517877094972067,1.0055865921787712,1.0000000000000009,1.0000000000000009,34.82122905027933,5.0,0.4581005586592179,by_prior_high_bin,,,,,,60-80c
close,5289,0.37700888636793345,0.3898657591227075,0.25344866704481,0.25344866704481,1.0330875401777275,1.0000000000000009,1.0000000000000009,34.655133295519,4.0,0.5241066364152014,by_prior_high_bin,,,,,,80c+
touch,3,0.0,0.0,0.26,0.2933333333333334,1.0000000000000009,1.0000000000000009,1.0000000000000009,30.66666666666666,,0.3333333333333333,by_prior_high_bin,,,,,,40-60c
touch,193,0.538860103626943,0.5492227979274611,0.25072538860103627,0.3240414507772021,1.0259067357512954,1.0000000000000009,1.0000000000000009,27.59585492227979,4.0,0.48186528497409326,by_prior_high_bin,,,,,,60-80c
touch,6170,0.4841166936790924,0.4978930307941653,0.254708265802269,0.3154667747163695,1.0377633711507293,1.0000000000000009,1.0000000000000009,28.453322528363046,4.0,0.5179902755267423,by_prior_high_bin,,,,,,80c+
