target,min_reclaim,max_entry,max_minute,exclude_hours,n,avg,win,avgwin,avgloss,pf,minq,q,poswk,weeks,minwk,acct,dd,avgsize
65,0,45,8,"(3, 12, 18)",15,9.366666666666667,0.8666666666666667,17.5,-43.5,2.6149425287356323,0.0,"5.00,0.00,14.75,20.50",7,9,-42.5,4014.5,-2222.0,30.066666666666666
80,5,55,8,(),22,9.363636363636363,0.7727272727272727,27.264705882352942,-51.5,1.8,-0.16666666666666666,"14.83,-0.17,11.90,11.70",5,8,-26.5,5418.0,-4080.0,30.545454545454547
80,5,55,8,"(12,)",22,9.363636363636363,0.7727272727272727,27.264705882352942,-51.5,1.8,-0.16666666666666666,"14.83,-0.17,11.90,11.70",5,8,-26.5,5418.0,-4080.0,30.545454545454547
80,5,55,8,"(14,)",22,9.363636363636363,0.7727272727272727,27.264705882352942,-51.5,1.8,-0.16666666666666666,"14.83,-0.17,11.90,11.70",5,8,-26.5,5418.0,-4080.0,30.545454545454547
85,0,50,10,"(18,)",29,9.362068965517242,0.6896551724137931,35.2,-48.05555555555556,1.6277456647398845,-14.357142857142858,"14.88,-14.36,20.93,15.21",5,10,-42.5,7293.5,-6031.0,34.03448275862069
65,0,50,8,"(3, 12, 18)",21,9.357142857142858,0.9047619047619048,14.921052631578947,-43.5,3.2586206896551726,0.7,"6.83,0.70,13.50,16.90",8,10,-42.5,5885.5,-2287.5,30.333333333333332
80,4,55,7,"(3,)",21,9.357142857142858,0.7619047619047619,28.25,-51.1,1.7690802348336594,-4.1,"17.17,-4.10,11.90,10.90",6,10,-59.5,5445.0,-3459.5,29.904761904761905
85,0,50,8,"(18,)",26,9.346153846153847,0.6923076923076923,34.72222222222222,-47.75,1.6361256544502618,-14.928571428571429,"24.21,-14.93,18.83,10.83",5,10,-42.5,5942.5,-5760.0,34.19230769230769
70,0,55,8,"(3,)",32,9.34375,0.875,17.785714285714285,-49.75,2.5025125628140703,-0.5,"11.38,9.00,-0.50,17.50",8,10,-42.5,10055.0,-4147.0,34.1875
75,4,50,8,"(12,)",19,9.342105263157896,0.7894736842105263,24.1,-46.0,1.9646739130434783,-7.7,"11.90,-7.70,24.50,8.50",6,9,-42.5,4196.0,-2920.5,29.57894736842105
90,5,50,10,"(18,)",18,9.333333333333334,0.6666666666666666,39.333333333333336,-50.666666666666664,1.5526315789473684,-15.9,"22.30,-15.90,15.25,18.75",5,8,-42.5,4026.5,-4518.5,31.27777777777778
90,5,50,10,"(12, 18)",18,9.333333333333334,0.6666666666666666,39.333333333333336,-50.666666666666664,1.5526315789473684,-15.9,"22.30,-15.90,15.25,18.75",5,8,-42.5,4026.5,-4518.5,31.27777777777778
70,4,55,8,"(20,)",23,9.326086956521738,0.8695652173913043,17.7,-46.5,2.5376344086021505,4.666666666666667,"8.83,17.00,4.67,6.30",7,10,-54.5,5839.5,-3269.0,32.30434782608695
75,0,45,7,"(3,)",16,9.3125,0.75,27.916666666666668,-46.5,1.8010752688172043,-30.0,"12.50,-30.00,25.75,29.00",6,9,-42.5,4101.5,-4490.0,28.4375
75,0,45,7,"(3, 12)",16,9.3125,0.75,27.916666666666668,-46.5,1.8010752688172043,-30.0,"12.50,-30.00,25.75,29.00",6,9,-42.5,4101.5,-4490.0,28.4375
75,0,45,8,"(3,)",16,9.3125,0.75,27.916666666666668,-46.5,1.8010752688172043,-30.0,"12.50,-30.00,25.75,29.00",6,9,-42.5,4101.5,-4490.0,28.4375
75,0,45,8,"(3, 12)",16,9.3125,0.75,27.916666666666668,-46.5,1.8010752688172043,-30.0,"12.50,-30.00,25.75,29.00",6,9,-42.5,4101.5,-4490.0,28.4375
65,4,55,6,"(3, 12, 18)",15,9.3,0.9333333333333333,13.0,-42.5,4.2823529411764705,0.0,"0.00,13.25,10.25,15.17",7,8,-42.5,3750.5,-1402.5,27.666666666666668
65,7,50,10,"(20,)",15,9.3,0.9333333333333333,13.928571428571429,-55.5,3.5135135135135136,-0.5,"-0.50,11.75,15.00,11.50",6,7,-55.5,4314.0,-1387.5,28.533333333333335
65,8,50,10,"(20,)",15,9.3,0.9333333333333333,13.928571428571429,-55.5,3.5135135135135136,-0.5,"-0.50,11.75,15.00,11.50",6,7,-55.5,4314.0,-1387.5,28.533333333333335
75,6,50,10,"(18,)",15,9.3,0.8,23.416666666666668,-47.166666666666664,1.9858657243816253,-15.5,"27.00,-15.50,22.75,0.83",5,7,-42.5,3239.5,-3366.0,31.4
75,6,50,10,"(12, 18)",15,9.3,0.8,23.416666666666668,-47.166666666666664,1.9858657243816253,-15.5,"27.00,-15.50,22.75,0.83",5,7,-42.5,3239.5,-3366.0,31.4
75,5,50,10,(),20,9.3,0.8,23.9375,-49.25,1.9441624365482233,7.9,"9.30,7.90,10.10,9.90",6,9,-55.5,4955.5,-3366.0,31.35
75,5,50,10,"(12,)",20,9.3,0.8,23.9375,-49.25,1.9441624365482233,7.9,"9.30,7.90,10.10,9.90",6,9,-55.5,4955.5,-3366.0,31.35
75,5,50,10,"(14,)",20,9.3,0.8,23.9375,-49.25,1.9441624365482233,7.9,"9.30,7.90,10.10,9.90",6,9,-55.5,4955.5,-3366.0,31.35
90,0,50,6,"(20,)",20,9.3,0.65,38.73076923076923,-45.357142857142854,1.5858267716535432,3.3,"21.70,3.30,4.90,7.30",6,10,-54.5,2937.0,-4178.0,32.1
75,0,50,8,"(3, 18)",24,9.291666666666666,0.7916666666666666,24.394736842105264,-48.1,1.9272349272349272,-12.5,"13.00,-12.50,23.67,13.00",7,10,-42.5,6276.5,-3771.5,30.625
95,0,50,8,"(3, 18)",24,9.291666666666666,0.625,44.63333333333333,-49.611111111111114,1.4994400895856663,-18.333333333333332,"29.67,-18.33,27.83,-2.00",5,10,-47.0,5206.5,-6304.0,34.208333333333336
99,10,55,10,"(3,)",19,9.289473684210526,0.631578947368421,46.416666666666664,-54.357142857142854,1.4638633377135348,-15.3,"9.90,-15.30,46.90,-7.75",6,9,-59.5,4411.0,-4814.0,27.894736842105264
99,10,55,10,"(3, 12)",19,9.289473684210526,0.631578947368421,46.416666666666664,-54.357142857142854,1.4638633377135348,-15.3,"9.90,-15.30,46.90,-7.75",6,9,-59.5,4411.0,-4814.0,27.894736842105264
75,0,50,7,"(3,)",23,9.282608695652174,0.782608695652174,25.22222222222222,-48.1,1.8877338877338878,-11.666666666666666,"13.00,-11.67,12.17,26.50",7,10,-42.5,6187.5,-4153.5,30.82608695652174
65,6,55,7,(),18,9.277777777777779,0.9444444444444444,12.323529411764707,-42.5,4.929411764705883,-4.75,"15.50,10.70,13.75,-4.75",7,8,-9.833333333333334,4678.0,-2082.5,32.55555555555556
65,6,55,7,"(12,)",18,9.277777777777779,0.9444444444444444,12.323529411764707,-42.5,4.929411764705883,-4.75,"15.50,10.70,13.75,-4.75",7,8,-9.833333333333334,4678.0,-2082.5,32.55555555555556
65,6,55,7,"(14,)",18,9.277777777777779,0.9444444444444444,12.323529411764707,-42.5,4.929411764705883,-4.75,"15.50,10.70,13.75,-4.75",7,8,-9.833333333333334,4678.0,-2082.5,32.55555555555556
90,4,50,8,"(3, 18)",18,9.277777777777779,0.6666666666666666,39.583333333333336,-51.333333333333336,1.5422077922077921,-16.7,"23.90,-16.70,16.00,16.75",5,9,-54.5,4351.0,-3843.5,29.333333333333332
99,0,50,8,(),27,9.277777777777779,0.5925925925925926,48.875,-48.31818181818182,1.471307619943556,-8.928571428571429,"36.21,-8.93,5.36,3.67",5,10,-45.5,5221.5,-8530.5,38.77777777777778
99,0,55,8,"(12, 18)",31,9.274193548387096,0.6129032258064516,46.81578947368421,-50.166666666666664,1.4775747508305648,-3.125,"25.88,7.62,-3.12,6.36",6,10,-42.5,5937.5,-9092.5,37.38709677419355
65,6,55,8,(),20,9.25,0.95,11.973684210526315,-42.5,5.352941176470588,-2.7,"14.10,12.90,12.70,-2.70",7,8,-9.833333333333334,5233.0,-2167.5,32.8
65,6,55,8,"(12,)",20,9.25,0.95,11.973684210526315,-42.5,5.352941176470588,-2.7,"14.10,12.90,12.70,-2.70",7,8,-9.833333333333334,5233.0,-2167.5,32.8
65,6,55,8,"(14,)",20,9.25,0.95,11.973684210526315,-42.5,5.352941176470588,-2.7,"14.10,12.90,12.70,-2.70",7,8,-9.833333333333334,5233.0,-2167.5,32.8
95,0,55,8,"(3, 12, 18)",28,9.25,0.6428571428571429,43.111111111111114,-51.7,1.5009671179883946,-11.642857142857142,"32.50,-11.64,14.36,1.79",6,10,-50.5,6565.0,-7586.0,34.5
80,4,50,6,"(12,)",15,9.233333333333333,0.7333333333333333,29.318181818181817,-46.0,1.752717391304348,-11.75,"11.25,-11.75,12.25,30.50",6,9,-42.5,2862.5,-2772.0,27.8
85,4,45,10,(),15,9.233333333333333,0.6666666666666666,37.3,-46.9,1.5906183368869935,-7.0,"-3.00,-7.00,35.75,11.83",5,9,-42.5,3304.5,-3206.0,28.466666666666665
85,4,45,10,"(12,)",15,9.233333333333333,0.6666666666666666,37.3,-46.9,1.5906183368869935,-7.0,"-3.00,-7.00,35.75,11.83",5,9,-42.5,3304.5,-3206.0,28.466666666666665
70,4,55,8,"(18,)",24,9.208333333333334,0.875,17.166666666666668,-46.5,2.5842293906810037,3.5,"8.83,17.17,3.50,7.33",7,10,-54.5,5967.0,-3256.5,32.166666666666664
95,0,55,7,(),33,9.196969696969697,0.6363636363636364,42.88095238095238,-49.75,1.5083752093802345,-15.75,"24.61,17.75,-15.75,8.25",7,10,-42.5,6552.5,-16415.0,42.03030303030303
65,6,55,7,"(20,)",16,9.1875,0.9375,12.633333333333333,-42.5,4.458823529411765,-4.75,"15.50,12.25,13.75,-4.75",7,8,-9.833333333333334,3986.0,-1997.5,31.875
75,6,55,7,"(20,)",16,9.1875,0.8125,22.96153846153846,-50.5,1.9702970297029703,2.75,"25.50,3.50,5.00,2.75",7,8,-28.166666666666668,3844.0,-3308.5,31.75
80,4,55,6,"(12, 18)",16,9.1875,0.75,27.583333333333332,-46.0,1.798913043478261,-11.75,"11.25,-11.75,8.75,28.50",6,9,-42.5,2784.5,-2772.0,26.8125
