target,min_reclaim,max_entry,max_minute,exclude_hours,n,avg,win,avgwin,avgloss,pf,minq,q,poswk,weeks,minwk,acct,dd,avgsize
99,0,50,7,"(3, 12, 14, 18, 20)",16,37.0625,0.875,49.07142857142857,-47.0,7.308510638297872,1.0,"49.50,1.00,48.50,49.25",8,8,5.5,29336.5,-3056.0,48.9375
99,4,55,7,"(3, 12, 14, 18, 20)",16,34.75,0.875,47.5,-54.5,6.10091743119266,20.25,"49.50,20.25,21.75,47.50",7,8,-59.5,25886.0,-3094.0,46.625
95,0,50,7,"(3, 12, 14, 18, 20)",16,33.5625,0.875,45.07142857142857,-47.0,6.712765957446808,-1.0,"45.50,-1.00,44.50,45.25",8,8,3.5,24679.5,-3089.0,45.8125
99,5,55,7,"(3, 12, 14, 18, 20)",15,33.43333333333333,0.8666666666666667,46.96153846153846,-54.5,5.60091743119266,20.25,"49.50,20.25,21.75,45.17",7,8,-59.5,21172.5,-3094.0,43.8
99,7,55,7,"(20,)",15,33.43333333333333,0.8666666666666667,46.96153846153846,-54.5,5.60091743119266,21.5,"49.50,21.50,23.00,41.83",7,8,-9.0,21213.5,-3213.0,43.93333333333333
99,8,55,7,"(20,)",15,33.43333333333333,0.8666666666666667,46.96153846153846,-54.5,5.60091743119266,21.5,"49.50,21.50,23.00,41.83",7,8,-9.0,21213.5,-3213.0,43.93333333333333
99,0,47,10,"(3, 12, 14, 18, 20)",16,32.625,0.8125,51.26923076923077,-48.166666666666664,4.612456747404845,-23.25,"52.75,-23.25,48.50,52.50",7,8,-13.166666666666666,25065.0,-4156.5,45.375
99,0,45,10,"(3, 12, 14, 18, 20)",15,31.7,0.8,51.666666666666664,-48.166666666666664,4.290657439446367,1.25,"28.50,1.25,48.75,53.83",7,8,-13.166666666666666,21418.5,-3834.0,42.06666666666667
95,4,55,7,"(3, 12, 14, 18, 20)",16,31.25,0.875,43.5,-54.5,5.587155963302752,17.25,"45.50,17.25,18.75,43.50",7,8,-59.5,21995.5,-2856.0,43.9375
99,4,50,7,"(3, 12)",16,30.875,0.8125,48.88461538461539,-47.166666666666664,4.491166077738516,-0.25,"25.00,-0.25,49.00,49.75",6,8,-42.5,20411.0,-3663.0,40.0
99,5,55,7,"(20,)",18,30.72222222222222,0.8333333333333334,46.96666666666667,-50.5,4.65016501650165,21.25,"48.10,26.90,21.25,23.25",7,8,-20.166666666666668,23772.5,-4798.0,49.27777777777778
99,5,55,7,"(3,)",18,30.166666666666668,0.8333333333333334,46.766666666666666,-52.833333333333336,4.425867507886435,7.3,"48.10,7.30,47.50,19.00",7,8,-59.5,23678.5,-4158.0,44.388888888888886
99,5,55,7,"(3, 12)",18,30.166666666666668,0.8333333333333334,46.766666666666666,-52.833333333333336,4.425867507886435,7.3,"48.10,7.30,47.50,19.00",7,8,-59.5,23678.5,-4158.0,44.388888888888886
95,5,55,7,"(3, 12, 14, 18, 20)",15,29.966666666666665,0.8666666666666667,42.96153846153846,-54.5,5.123853211009174,17.25,"45.50,17.25,18.75,41.17",7,8,-59.5,18060.5,-2856.0,41.53333333333333
95,7,55,7,"(20,)",15,29.966666666666665,0.8666666666666667,42.96153846153846,-54.5,5.123853211009174,18.5,"45.50,18.50,20.00,37.83",7,8,-11.0,18121.5,-2975.0,41.8
95,8,55,7,"(20,)",15,29.966666666666665,0.8666666666666667,42.96153846153846,-54.5,5.123853211009174,18.5,"45.50,18.50,20.00,37.83",7,8,-11.0,18121.5,-2975.0,41.8
99,4,50,7,"(3, 12, 18)",15,29.433333333333334,0.8,48.583333333333336,-47.166666666666664,4.120141342756184,-0.25,"25.00,-0.25,48.50,49.50",6,8,-42.5,16735.5,-3663.0,37.93333333333333
99,4,55,6,"(3, 12)",16,29.375,0.8125,47.03846153846154,-47.166666666666664,4.321554770318021,-2.25,"25.50,-2.25,46.75,47.50",7,8,-42.5,17598.0,-3217.5,35.75
95,0,47,10,"(3, 12, 14, 18, 20)",16,29.375,0.8125,47.26923076923077,-48.166666666666664,4.252595155709343,-24.25,"48.75,-24.25,44.50,48.50",7,8,-14.5,21129.0,-4106.5,42.625
99,5,50,7,(),15,29.3,0.8,48.416666666666664,-47.166666666666664,4.106007067137809,-2.25,"49.50,-2.25,49.75,17.17",6,8,-42.5,16463.5,-4158.0,42.733333333333334
99,5,50,7,"(12,)",15,29.3,0.8,48.416666666666664,-47.166666666666664,4.106007067137809,-2.25,"49.50,-2.25,49.75,17.17",6,8,-42.5,16463.5,-4158.0,42.733333333333334
99,5,50,7,"(14,)",15,29.3,0.8,48.416666666666664,-47.166666666666664,4.106007067137809,-2.25,"49.50,-2.25,49.75,17.17",6,8,-42.5,16463.5,-4158.0,42.733333333333334
90,0,50,7,"(3, 12, 14, 18, 20)",16,29.1875,0.875,40.07142857142857,-47.0,5.968085106382978,-3.5,"40.50,-3.50,39.50,40.25",8,8,1.0,19823.5,-3044.0,42.4375
99,5,55,7,"(3, 18)",17,28.852941176470587,0.8235294117647058,46.357142857142854,-52.833333333333336,4.094637223974764,-2.75,"48.10,-2.75,46.25,19.00",7,8,-59.5,19617.0,-4158.0,41.529411764705884
99,5,55,7,"(3, 12, 18)",17,28.852941176470587,0.8235294117647058,46.357142857142854,-52.833333333333336,4.094637223974764,-2.75,"48.10,-2.75,46.25,19.00",7,8,-59.5,19617.0,-4158.0,41.529411764705884
99,7,55,7,(),17,28.852941176470587,0.8235294117647058,46.357142857142854,-52.833333333333336,4.094637223974764,16.5,"29.70,21.50,47.50,16.50",7,8,-9.0,19460.0,-3811.5,40.8235294117647
99,7,55,7,"(12,)",17,28.852941176470587,0.8235294117647058,46.357142857142854,-52.833333333333336,4.094637223974764,16.5,"29.70,21.50,47.50,16.50",7,8,-9.0,19460.0,-3811.5,40.8235294117647
99,7,55,7,"(14,)",17,28.852941176470587,0.8235294117647058,46.357142857142854,-52.833333333333336,4.094637223974764,16.5,"29.70,21.50,47.50,16.50",7,8,-9.0,19460.0,-3811.5,40.8235294117647
99,8,55,7,(),17,28.852941176470587,0.8235294117647058,46.357142857142854,-52.833333333333336,4.094637223974764,16.5,"29.70,21.50,47.50,16.50",7,8,-9.0,19460.0,-3811.5,40.8235294117647
99,8,55,7,"(12,)",17,28.852941176470587,0.8235294117647058,46.357142857142854,-52.833333333333336,4.094637223974764,16.5,"29.70,21.50,47.50,16.50",7,8,-9.0,19460.0,-3811.5,40.8235294117647
99,8,55,7,"(14,)",17,28.852941176470587,0.8235294117647058,46.357142857142854,-52.833333333333336,4.094637223974764,16.5,"29.70,21.50,47.50,16.50",7,8,-9.0,19460.0,-3811.5,40.8235294117647
99,6,55,7,"(20,)",16,28.6875,0.8125,46.96153846153846,-50.5,4.02970297029703,20.75,"49.50,21.50,23.00,20.75",7,8,-20.166666666666668,17395.5,-4410.5,45.1875
95,0,45,10,"(3, 12, 14, 18, 20)",15,28.5,0.8,47.666666666666664,-48.166666666666664,3.958477508650519,-0.75,"25.50,-0.75,44.75,49.83",7,8,-14.5,18342.0,-3765.0,40.0
99,4,50,8,"(3, 12, 14, 18, 20)",15,28.1,0.8,48.583333333333336,-53.833333333333336,3.609907120743034,-4.0,"49.50,-4.00,22.75,49.50",6,7,-0.5,16939.5,-2640.0,39.266666666666666
99,6,55,7,"(3,)",16,28.0625,0.8125,46.73076923076923,-52.833333333333336,3.832807570977918,-2.75,"49.50,-2.75,46.75,18.75",7,8,-59.5,17132.0,-3811.5,39.875
99,6,55,7,"(3, 12)",16,28.0625,0.8125,46.73076923076923,-52.833333333333336,3.832807570977918,-2.75,"49.50,-2.75,46.75,18.75",7,8,-59.5,17132.0,-3811.5,39.875
99,7,55,7,"(3,)",16,28.0625,0.8125,46.73076923076923,-52.833333333333336,3.832807570977918,-2.75,"49.50,-2.75,46.75,18.75",7,8,-59.5,17132.0,-3811.5,39.875
99,7,55,7,"(3, 12)",16,28.0625,0.8125,46.73076923076923,-52.833333333333336,3.832807570977918,-2.75,"49.50,-2.75,46.75,18.75",7,8,-59.5,17132.0,-3811.5,39.875
99,8,55,7,"(3,)",16,28.0625,0.8125,46.73076923076923,-52.833333333333336,3.832807570977918,-2.75,"49.50,-2.75,46.75,18.75",7,8,-59.5,17132.0,-3811.5,39.875
99,8,55,7,"(3, 12)",16,28.0625,0.8125,46.73076923076923,-52.833333333333336,3.832807570977918,-2.75,"49.50,-2.75,46.75,18.75",7,8,-59.5,17132.0,-3811.5,39.875
99,4,55,6,"(3, 12, 18)",15,27.833333333333332,0.8,46.583333333333336,-47.166666666666664,3.950530035335689,-2.25,"25.50,-2.25,44.25,49.17",7,8,-42.5,14222.0,-3217.5,33.733333333333334
99,4,55,7,"(3, 12)",20,27.75,0.8,47.25,-50.25,3.7611940298507465,6.3,"31.10,6.30,47.50,26.10",7,9,-59.5,23959.0,-3663.0,42.0
99,0,55,7,"(3, 12, 14, 18, 20)",20,27.75,0.8,48.0625,-53.5,3.5934579439252334,7.3,"50.70,7.30,27.10,25.90",8,9,-59.5,26092.5,-6596.0,48.85
99,5,55,6,(),15,27.7,0.8,46.416666666666664,-47.166666666666664,3.9363957597173145,-1.0,"46.75,-1.00,24.25,45.17",7,8,-42.5,13996.0,-3663.0,37.6
99,5,55,6,"(12,)",15,27.7,0.8,46.416666666666664,-47.166666666666664,3.9363957597173145,-1.0,"46.75,-1.00,24.25,45.17",7,8,-42.5,13996.0,-3663.0,37.6
99,5,55,6,"(14,)",15,27.7,0.8,46.416666666666664,-47.166666666666664,3.9363957597173145,-1.0,"46.75,-1.00,24.25,45.17",7,8,-42.5,13996.0,-3663.0,37.6
95,4,50,7,"(3, 12)",16,27.625,0.8125,44.88461538461539,-47.166666666666664,4.123674911660777,-2.25,"22.00,-2.25,45.00,45.75",6,8,-42.5,17208.0,-3514.5,38.0
99,10,55,7,(),16,27.5,0.8125,46.03846153846154,-52.833333333333336,3.77602523659306,-2.75,"49.50,-2.75,46.75,16.50",7,8,-9.0,16159.5,-3811.5,38.4375
99,10,55,7,"(12,)",16,27.5,0.8125,46.03846153846154,-52.833333333333336,3.77602523659306,-2.75,"49.50,-2.75,46.75,16.50",7,8,-9.0,16159.5,-3811.5,38.4375
99,10,55,7,"(14,)",16,27.5,0.8125,46.03846153846154,-52.833333333333336,3.77602523659306,-2.75,"49.50,-2.75,46.75,16.50",7,8,-9.0,16159.5,-3811.5,38.4375
95,5,55,7,"(20,)",18,27.38888888888889,0.8333333333333334,42.96666666666667,-50.5,4.254125412541254,18.25,"44.10,23.70,18.25,20.25",7,8,-21.5,19905.0,-4568.0,46.111111111111114
99,7,55,7,"(18,)",16,27.375,0.8125,45.88461538461539,-52.833333333333336,3.7634069400630916,-2.75,"49.50,-2.75,46.25,16.50",7,8,-9.0,15875.5,-3811.5,38.0625
99,7,55,7,"(12, 18)",16,27.375,0.8125,45.88461538461539,-52.833333333333336,3.7634069400630916,-2.75,"49.50,-2.75,46.25,16.50",7,8,-9.0,15875.5,-3811.5,38.0625
99,8,55,7,"(18,)",16,27.375,0.8125,45.88461538461539,-52.833333333333336,3.7634069400630916,-2.75,"49.50,-2.75,46.25,16.50",7,8,-9.0,15875.5,-3811.5,38.0625
99,8,55,7,"(12, 18)",16,27.375,0.8125,45.88461538461539,-52.833333333333336,3.7634069400630916,-2.75,"49.50,-2.75,46.25,16.50",7,8,-9.0,15875.5,-3811.5,38.0625
99,5,55,7,(),20,27.1,0.8,46.4375,-50.25,3.6965174129353233,7.3,"48.10,7.30,26.10,26.90",7,8,-20.166666666666668,22020.0,-4574.0,46.1
99,5,55,7,"(12,)",20,27.1,0.8,46.4375,-50.25,3.6965174129353233,7.3,"48.10,7.30,26.10,26.90",7,8,-20.166666666666668,22020.0,-4574.0,46.1
99,5,55,7,"(14,)",20,27.1,0.8,46.4375,-50.25,3.6965174129353233,7.3,"48.10,7.30,26.10,26.90",7,8,-20.166666666666668,22020.0,-4574.0,46.1
90,4,55,7,"(3, 12, 14, 18, 20)",16,26.875,0.875,38.5,-54.5,4.944954128440367,13.5,"40.50,13.50,15.00,38.50",7,8,-59.5,17526.0,-2558.5,40.5
95,5,55,7,"(3,)",18,26.833333333333332,0.8333333333333334,42.766666666666666,-52.833333333333336,4.047318611987381,4.9,"44.10,4.90,43.50,16.00",7,8,-59.5,19716.0,-4009.5,41.666666666666664
95,5,55,7,"(3, 12)",18,26.833333333333332,0.8333333333333334,42.766666666666666,-52.833333333333336,4.047318611987381,4.9,"44.10,4.90,43.50,16.00",7,8,-59.5,19716.0,-4009.5,41.666666666666664
99,0,50,8,"(3, 12, 14, 18, 20)",18,26.72222222222222,0.7777777777777778,49.07142857142857,-51.5,3.3349514563106797,-12.1,"50.70,-12.10,22.75,49.25",7,8,-15.166666666666666,20672.0,-5012.5,42.44444444444444
99,10,55,7,"(3,)",15,26.566666666666666,0.8,46.416666666666664,-52.833333333333336,3.5141955835962144,-2.75,"49.50,-2.75,46.75,8.17",7,8,-59.5,14080.5,-3811.5,37.666666666666664
99,10,55,7,"(3, 12)",15,26.566666666666666,0.8,46.416666666666664,-52.833333333333336,3.5141955835962144,-2.75,"49.50,-2.75,46.75,8.17",7,8,-59.5,14080.5,-3811.5,37.666666666666664
99,4,50,7,"(12,)",17,26.558823529411764,0.7647058823529411,48.88461538461539,-46.0,3.453804347826087,-2.25,"31.10,-2.25,49.75,26.50",6,9,-42.5,16673.0,-3663.0,40.11764705882353
99,4,55,7,"(3, 12, 18)",19,26.44736842105263,0.7894736842105263,46.9,-50.25,3.5,6.3,"31.10,6.30,25.10,47.50",7,9,-59.5,19728.0,-3663.0,39.26315789473684
99,6,55,7,"(3, 18)",15,26.433333333333334,0.8,46.25,-52.833333333333336,3.501577287066246,-2.75,"49.50,-2.75,46.25,8.17",7,8,-59.5,13880.5,-3811.5,37.4
99,6,55,7,"(3, 12, 18)",15,26.433333333333334,0.8,46.25,-52.833333333333336,3.501577287066246,-2.75,"49.50,-2.75,46.25,8.17",7,8,-59.5,13880.5,-3811.5,37.4
99,7,55,7,"(3, 18)",15,26.433333333333334,0.8,46.25,-52.833333333333336,3.501577287066246,-2.75,"49.50,-2.75,46.25,8.17",7,8,-59.5,13880.5,-3811.5,37.4
99,7,55,7,"(3, 12, 18)",15,26.433333333333334,0.8,46.25,-52.833333333333336,3.501577287066246,-2.75,"49.50,-2.75,46.25,8.17",7,8,-59.5,13880.5,-3811.5,37.4
99,8,55,7,"(3, 18)",15,26.433333333333334,0.8,46.25,-52.833333333333336,3.501577287066246,-2.75,"49.50,-2.75,46.25,8.17",7,8,-59.5,13880.5,-3811.5,37.4
99,8,55,7,"(3, 12, 18)",15,26.433333333333334,0.8,46.25,-52.833333333333336,3.501577287066246,-2.75,"49.50,-2.75,46.25,8.17",7,8,-59.5,13880.5,-3811.5,37.4
99,10,55,8,"(20,)",15,26.366666666666667,0.8,46.666666666666664,-54.833333333333336,3.404255319148936,-3.5,"49.50,21.50,-3.50,41.83",7,8,-9.0,14465.5,-5500.0,40.46666666666667
99,4,50,7,"(20,)",17,26.264705882352942,0.7647058823529411,48.88461538461539,-47.25,3.3624338624338623,22.0,"31.10,22.00,24.25,26.50",7,10,-54.5,16855.5,-5620.5,42.88235294117647
95,4,50,7,"(3, 12, 18)",15,26.233333333333334,0.8,44.583333333333336,-47.166666666666664,3.7809187279151946,-2.25,"22.00,-2.25,44.50,45.50",6,8,-42.5,14158.0,-3514.5,36.266666666666666
95,4,55,6,"(3, 12)",16,26.125,0.8125,43.03846153846154,-47.166666666666664,3.954063604240283,-4.25,"22.50,-4.25,42.75,43.50",7,8,-42.5,14786.5,-3168.0,34.1875
95,5,50,7,(),15,26.1,0.8,44.416666666666664,-47.166666666666664,3.76678445229682,-4.25,"45.50,-4.25,45.75,14.50",6,8,-42.5,13888.5,-4009.5,40.6
95,5,50,7,"(12,)",15,26.1,0.8,44.416666666666664,-47.166666666666664,3.76678445229682,-4.25,"45.50,-4.25,45.75,14.50",6,8,-42.5,13888.5,-4009.5,40.6
95,5,50,7,"(14,)",15,26.1,0.8,44.416666666666664,-47.166666666666664,3.76678445229682,-4.25,"45.50,-4.25,45.75,14.50",6,8,-42.5,13888.5,-4009.5,40.6
99,4,50,7,"(3,)",17,25.852941176470587,0.7647058823529411,48.88461538461539,-49.0,3.24234693877551,-2.25,"31.10,-2.25,49.75,23.50",6,9,-54.5,16843.5,-3663.0,39.23529411764706
99,4,50,7,"(14,)",17,25.852941176470587,0.7647058823529411,48.88461538461539,-49.0,3.24234693877551,-1.0,"48.10,-1.00,24.25,26.50",6,9,-54.5,16860.5,-5663.0,43.588235294117645
99,10,55,7,"(18,)",15,25.833333333333332,0.8,45.5,-52.833333333333336,3.444794952681388,-2.75,"49.50,-2.75,18.75,41.83",7,8,-9.0,12910.5,-3811.5,35.93333333333333
99,10,55,7,"(12, 18)",15,25.833333333333332,0.8,45.5,-52.833333333333336,3.444794952681388,-2.75,"49.50,-2.75,18.75,41.83",7,8,-9.0,12910.5,-3811.5,35.93333333333333
99,5,55,7,"(18,)",19,25.763157894736842,0.7894736842105263,46.03333333333333,-50.25,3.4353233830845773,7.3,"48.10,7.30,23.90,23.25",7,8,-20.166666666666668,18187.0,-4158.0,42.8421052631579
99,5,55,7,"(12, 18)",19,25.763157894736842,0.7894736842105263,46.03333333333333,-50.25,3.4353233830845773,7.3,"48.10,7.30,23.90,23.25",7,8,-20.166666666666668,18187.0,-4158.0,42.8421052631579
90,5,55,7,"(3, 12, 14, 18, 20)",15,25.633333333333333,0.8666666666666667,37.96153846153846,-54.5,4.527522935779817,13.5,"40.50,13.50,15.00,36.17",7,8,-59.5,14427.0,-2558.5,38.53333333333333
90,7,55,7,"(20,)",15,25.633333333333333,0.8666666666666667,37.96153846153846,-54.5,4.527522935779817,14.75,"40.50,14.75,16.25,32.83",7,8,-13.5,14428.0,-2677.5,38.8
90,8,55,7,"(20,)",15,25.633333333333333,0.8666666666666667,37.96153846153846,-54.5,4.527522935779817,14.75,"40.50,14.75,16.25,32.83",7,8,-13.5,14428.0,-2677.5,38.8
99,0,50,7,"(3, 12)",20,25.6,0.75,49.3,-45.5,3.2505494505494505,-9.1,"31.10,-9.10,49.30,31.10",7,10,-42.5,20123.0,-4486.5,43.4
99,0,50,10,"(3, 12, 14, 18, 20)",21,25.595238095238095,0.7619047619047619,49.625,-51.3,3.0955165692007798,-11.3,"33.83,-11.30,27.70,50.50",7,8,-24.0,25236.0,-6222.5,43.714285714285715
95,5,55,7,"(3, 18)",17,25.558823529411764,0.8235294117647058,42.357142857142854,-52.833333333333336,3.7413249211356465,-4.75,"44.10,-4.75,42.25,16.00",7,8,-59.5,16425.0,-4009.5,39.1764705882353
95,5,55,7,"(3, 12, 18)",17,25.558823529411764,0.8235294117647058,42.357142857142854,-52.833333333333336,3.7413249211356465,-4.75,"44.10,-4.75,42.25,16.00",7,8,-59.5,16425.0,-4009.5,39.1764705882353
95,7,55,7,(),17,25.558823529411764,0.8235294117647058,42.357142857142854,-52.833333333333336,3.7413249211356465,13.5,"26.50,18.50,43.50,13.50",7,8,-11.0,16537.0,-3712.5,39.05882352941177
95,7,55,7,"(12,)",17,25.558823529411764,0.8235294117647058,42.357142857142854,-52.833333333333336,3.7413249211356465,13.5,"26.50,18.50,43.50,13.50",7,8,-11.0,16537.0,-3712.5,39.05882352941177
95,7,55,7,"(14,)",17,25.558823529411764,0.8235294117647058,42.357142857142854,-52.833333333333336,3.7413249211356465,13.5,"26.50,18.50,43.50,13.50",7,8,-11.0,16537.0,-3712.5,39.05882352941177
95,8,55,7,(),17,25.558823529411764,0.8235294117647058,42.357142857142854,-52.833333333333336,3.7413249211356465,13.5,"26.50,18.50,43.50,13.50",7,8,-11.0,16537.0,-3712.5,39.05882352941177
95,8,55,7,"(12,)",17,25.558823529411764,0.8235294117647058,42.357142857142854,-52.833333333333336,3.7413249211356465,13.5,"26.50,18.50,43.50,13.50",7,8,-11.0,16537.0,-3712.5,39.05882352941177
95,8,55,7,"(14,)",17,25.558823529411764,0.8235294117647058,42.357142857142854,-52.833333333333336,3.7413249211356465,13.5,"26.50,18.50,43.50,13.50",7,8,-11.0,16537.0,-3712.5,39.05882352941177
95,6,55,7,"(20,)",16,25.4375,0.8125,42.96153846153846,-50.5,3.6864686468646863,17.75,"45.50,18.50,20.00,17.75",7,8,-21.5,14610.5,-4267.5,42.8125
90,0,47,10,"(3, 12, 14, 18, 20)",16,25.3125,0.8125,42.26923076923077,-48.166666666666664,3.8027681660899653,-25.5,"43.75,-25.50,39.50,43.50",7,8,-16.166666666666668,16794.0,-4079.5,39.75
99,4,55,7,"(12,)",22,25.181818181818183,0.7727272727272727,46.911764705882355,-48.7,3.2751540041067764,12.5,"33.00,12.50,26.70,29.50",7,9,-42.5,22323.0,-3981.5,42.90909090909091
99,4,55,6,"(12,)",17,25.147058823529413,0.7647058823529411,47.03846153846154,-46.0,3.323369565217391,-1.0,"28.90,-1.00,24.25,47.50",7,9,-42.5,14174.5,-3217.5,35.35294117647059
99,4,47,10,"(20,)",15,24.966666666666665,0.7333333333333333,50.86363636363637,-46.25,3.0243243243243243,-0.25,"28.25,-0.25,49.75,21.17",7,9,-42.5,13322.0,-2592.5,38.266666666666666
99,4,50,7,"(12, 18)",16,24.9375,0.75,48.583333333333336,-46.0,3.1684782608695654,-0.25,"25.00,-0.25,48.50,26.50",6,9,-42.5,13455.5,-3663.0,37.9375
95,4,50,8,"(3, 12, 14, 18, 20)",15,24.9,0.8,44.583333333333336,-53.833333333333336,3.3126934984520124,-6.0,"45.50,-6.00,19.75,45.50",6,7,-2.5,14313.0,-2647.0,37.333333333333336
99,6,55,7,(),18,24.88888888888889,0.7777777777777778,46.357142857142854,-50.25,3.228855721393035,20.75,"29.70,24.90,23.00,20.75",7,8,-20.166666666666668,15812.0,-4186.5,41.888888888888886
99,6,55,7,"(12,)",18,24.88888888888889,0.7777777777777778,46.357142857142854,-50.25,3.228855721393035,20.75,"29.70,24.90,23.00,20.75",7,8,-20.166666666666668,15812.0,-4186.5,41.888888888888886
99,6,55,7,"(14,)",18,24.88888888888889,0.7777777777777778,46.357142857142854,-50.25,3.228855721393035,20.75,"29.70,24.90,23.00,20.75",7,8,-20.166666666666668,15812.0,-4186.5,41.888888888888886
99,4,50,10,"(3, 12, 14, 18, 20)",17,24.852941176470587,0.7647058823529411,48.80769230769231,-53.0,2.9929245283018866,-3.0,"29.50,-3.00,22.00,49.75",6,7,-17.166666666666668,16946.0,-3771.5,38.705882352941174
85,0,50,7,"(3, 12, 14, 18, 20)",16,24.8125,0.875,35.07142857142857,-47.0,5.223404255319149,-6.0,"35.50,-6.00,34.50,35.25",7,8,-1.5,15490.5,-3044.5,39.4375
95,6,55,7,"(3,)",16,24.8125,0.8125,42.73076923076923,-52.833333333333336,3.504731861198738,-4.75,"45.50,-4.75,42.75,15.75",7,8,-59.5,14621.5,-3712.5,38.3125
95,6,55,7,"(3, 12)",16,24.8125,0.8125,42.73076923076923,-52.833333333333336,3.504731861198738,-4.75,"45.50,-4.75,42.75,15.75",7,8,-59.5,14621.5,-3712.5,38.3125
95,7,55,7,"(3,)",16,24.8125,0.8125,42.73076923076923,-52.833333333333336,3.504731861198738,-4.75,"45.50,-4.75,42.75,15.75",7,8,-59.5,14621.5,-3712.5,38.3125
95,7,55,7,"(3, 12)",16,24.8125,0.8125,42.73076923076923,-52.833333333333336,3.504731861198738,-4.75,"45.50,-4.75,42.75,15.75",7,8,-59.5,14621.5,-3712.5,38.3125
95,8,55,7,"(3,)",16,24.8125,0.8125,42.73076923076923,-52.833333333333336,3.504731861198738,-4.75,"45.50,-4.75,42.75,15.75",7,8,-59.5,14621.5,-3712.5,38.3125
95,8,55,7,"(3, 12)",16,24.8125,0.8125,42.73076923076923,-52.833333333333336,3.504731861198738,-4.75,"45.50,-4.75,42.75,15.75",7,8,-59.5,14621.5,-3712.5,38.3125
99,4,55,8,"(3, 12, 14, 18, 20)",18,24.666666666666668,0.7777777777777778,47.5,-55.25,3.009049773755656,-4.0,"28.30,25.70,-4.00,47.50",6,8,-59.5,17937.5,-2640.0,39.94444444444444
99,4,55,7,"(14,)",22,24.636363636363637,0.7727272727272727,46.911764705882355,-51.1,3.12133072407045,6.1,"31.83,28.83,6.10,29.50",7,9,-54.5,22458.5,-7462.5,46.5
95,4,55,6,"(3, 12, 18)",15,24.633333333333333,0.8,42.583333333333336,-47.166666666666664,3.6113074204946995,-4.25,"22.50,-4.25,40.25,45.17",7,8,-42.5,11917.0,-3168.0,32.4
95,4,55,7,"(3, 12)",20,24.55,0.8,43.25,-50.25,3.442786069651741,3.9,"27.90,3.90,43.50,22.90",7,9,-59.5,19526.5,-3514.5,39.15
95,0,55,7,"(3, 12, 14, 18, 20)",20,24.55,0.8,44.0625,-53.5,3.294392523364486,4.9,"46.70,4.90,23.90,22.70",8,9,-59.5,21283.0,-5936.5,45.2
95,5,55,6,(),15,24.5,0.8,42.416666666666664,-47.166666666666664,3.597173144876325,-3.0,"42.75,-3.00,21.25,41.17",7,8,-42.5,11561.5,-3564.0,35.666666666666664
95,5,55,6,"(12,)",15,24.5,0.8,42.416666666666664,-47.166666666666664,3.597173144876325,-3.0,"42.75,-3.00,21.25,41.17",7,8,-42.5,11561.5,-3564.0,35.666666666666664
95,5,55,6,"(14,)",15,24.5,0.8,42.416666666666664,-47.166666666666664,3.597173144876325,-3.0,"42.75,-3.00,21.25,41.17",7,8,-42.5,11561.5,-3564.0,35.666666666666664
90,0,45,10,"(3, 12, 14, 18, 20)",15,24.5,0.8,42.666666666666664,-48.166666666666664,3.5432525951557095,-3.25,"21.75,-3.25,39.75,44.83",7,8,-16.166666666666668,14745.5,-3773.5,37.666666666666664
99,4,47,10,"(3,)",15,24.5,0.7333333333333333,50.86363636363637,-48.0,2.9140625,-24.5,"28.25,-24.50,49.00,52.17",6,8,-42.5,13591.0,-3139.0,34.93333333333333
99,4,47,10,"(14,)",15,24.5,0.7333333333333333,50.86363636363637,-48.0,2.9140625,0.0,"26.25,0.00,49.75,21.17",6,8,-42.5,13324.5,-3580.5,39.0
99,4,47,10,"(3, 12)",15,24.5,0.7333333333333333,50.86363636363637,-48.0,2.9140625,-24.5,"28.25,-24.50,49.00,52.17",6,8,-42.5,13591.0,-3139.0,34.93333333333333
99,4,55,6,"(3,)",17,24.441176470588236,0.7647058823529411,47.03846153846154,-49.0,3.1198979591836733,-1.0,"28.90,-1.00,21.25,47.50",7,9,-54.5,14247.0,-3217.5,34.588235294117645
99,4,55,6,"(14,)",17,24.441176470588236,0.7647058823529411,47.03846153846154,-49.0,3.1198979591836733,1.0,"27.50,21.00,1.00,47.50",7,9,-54.5,14244.5,-4747.5,38.05882352941177
99,4,55,7,"(20,)",21,24.30952380952381,0.7619047619047619,47.4375,-49.7,3.0543259557344062,6.1,"33.00,26.90,6.10,29.50",7,10,-54.5,20245.5,-6918.5,44.42857142857143
95,10,55,7,(),16,24.25,0.8125,42.03846153846154,-52.833333333333336,3.44794952681388,-4.75,"45.50,-4.75,42.75,13.50",7,8,-11.0,13696.5,-3712.5,36.9375
95,10,55,7,"(12,)",16,24.25,0.8125,42.03846153846154,-52.833333333333336,3.44794952681388,-4.75,"45.50,-4.75,42.75,13.50",7,8,-11.0,13696.5,-3712.5,36.9375
95,10,55,7,"(14,)",16,24.25,0.8125,42.03846153846154,-52.833333333333336,3.44794952681388,-4.75,"45.50,-4.75,42.75,13.50",7,8,-11.0,13696.5,-3712.5,36.9375
99,4,50,7,"(3, 18)",16,24.1875,0.75,48.583333333333336,-49.0,2.9744897959183674,-0.25,"25.00,-0.25,48.50,23.50",6,9,-54.5,13546.5,-3663.0,37.0625
