rule,side,target_c,trades,avg_entry_c,median_entry_minute,hit_rate,breakeven_hit_rate,avg_pnl_c,min_quartile_ev_c,quartile_ev_c,positive_weeks,weeks,min_week_ev_c,avg_signed_btc_ret_window,avg_signed_dist_ema21_15m,avg_signed_ema21_slope_15m,avg_early_low_c
m5_low0-20_close35-55_green,NO,65,290,42.61379310344827,7.0,0.603448275862069,0.6555968169761273,-3.389655172413793,-4.945205479452055,"-4.95,0.39,-4.86,-4.11",3,10,-9.823529411764707,-15.211310344827607,-54.25858939252741,-7.59792801995422,15.46896551724138
m5_low0-20_close35-55_green,NO,70,290,42.61379310344827,7.0,0.5724137931034483,0.6087684729064039,-2.5448275862068965,-4.930555555555555,"-2.89,-0.17,-4.93,-2.19",3,10,-7.176470588235294,-15.211310344827607,-54.25858939252741,-7.59792801995422,15.46896551724138
m5_low0-20_close35-55_green,NO,75,290,42.61379310344827,7.0,0.5241379310344828,0.568183908045977,-3.303448275862069,-7.5,"-4.05,-0.24,-7.50,-1.44",3,10,-9.8125,-15.211310344827607,-54.25858939252741,-7.59792801995422,15.46896551724138
m5_low0-20_close35-55_green,NO,80,290,42.61379310344827,7.0,0.4862068965517241,0.5326724137931034,-3.717241379310345,-8.541666666666666,"-1.38,-1.83,-8.54,-3.15",3,10,-12.625,-15.211310344827607,-54.25858939252741,-7.59792801995422,15.46896551724138
m5_low0-20_close35-55_green,NO,85,290,42.61379310344827,7.0,0.4482758620689655,0.5013387423935091,-4.510344827586207,-7.638888888888889,"-4.53,-3.99,-7.64,-1.92",2,10,-10.75,-15.211310344827607,-54.25858939252741,-7.59792801995422,15.46896551724138
m5_low0-20_close35-55_green,YES,65,281,42.57651245551602,7.0,0.6725978647686833,0.6550232685464003,1.1423487544483986,-1.8309859154929577,"-1.83,2.49,3.09,0.87",6,10,-3.24,-16.271316725978252,-44.83848093521793,-4.234008257178553,15.732384341637012
m5_low0-20_close35-55_green,YES,70,281,42.57651245551602,7.0,0.6512455516014235,0.6082358922216574,3.0106761565836297,-0.6338028169014085,"-0.63,4.91,3.66,4.16",7,10,-4.464285714285714,-16.271316725978252,-44.83848093521793,-4.234008257178553,15.732384341637012
m5_low0-20_close35-55_green,YES,75,281,42.57651245551602,7.0,0.594306049822064,0.5676868327402136,1.99644128113879,-1.8309859154929577,"-1.83,2.91,1.66,5.30",6,10,-7.142857142857143,-16.271316725978252,-44.83848093521793,-4.234008257178553,15.732384341637012
m5_low0-20_close35-55_green,YES,80,281,42.57651245551602,7.0,0.5693950177935944,0.5322064056939502,2.9750889679715304,-0.2112676056338028,"-0.21,2.49,4.66,5.01",7,10,-4.821428571428571,-16.271316725978252,-44.83848093521793,-4.234008257178553,15.732384341637012
m5_low0-20_close35-55_green,YES,85,281,42.57651245551602,7.0,0.5338078291814946,0.5009001465354825,2.797153024911032,0.07042253521126761,"0.07,0.41,2.80,7.94",7,10,-8.571428571428571,-16.271316725978252,-44.83848093521793,-4.234008257178553,15.732384341637012
