side,trades,hit_rate,breakeven_hit_rate,avg_entry_c,avg_pnl_c,min_quartile_ev_c,quartile_ev_c,positive_weeks,weeks,min_week_ev_c,settle_win_rate,avg_entry_minute,avg_signal_dist_below_ema_c,avg_bars_since_touch,avg_drop5_c,table,dist_bin,bars_bin,entry_c
NO,3144,0.263676844783715,0.2678077290076336,21.424618320610687,-0.330470737913486,-1.025445292620865,"1.32,-0.80,-0.81,-1.03",4,10,-3.3385579937304075,0.2121501272264631,5.127862595419847,25.418165065449475,1.3377862595419847,68.64850508905853,side,,,
YES,3243,0.26025285229725564,0.2692337341967314,21.538698735738514,-0.7184705519580635,-2.0974106041923553,"-2.10,0.91,-2.04,0.35",4,10,-2.1907514450867054,0.21461609620721553,5.14122725871107,24.264887870121413,1.3250077089115018,68.71674375578168,side,,,
,240,0.37083333333333335,0.27708333333333335,22.166666666666668,7.5,4.416666666666667,"4.42,8.53,7.35,9.70",8,10,-3.380952380952381,0.3125,3.8666666666666667,2.8058932205477762,0.04583333333333333,72.49416666666666,dist_bin,0-5,,
,442,0.3235294117647059,0.27717760180995477,22.17420814479638,3.7081447963800906,-1.7297297297297298,"8.63,5.25,-1.73,2.68",7,10,-8.205882352941176,0.2669683257918552,4.400452488687783,7.771240497283335,0.2171945701357466,70.49864253393666,dist_bin,5-10,,
,884,0.2907239819004525,0.2696549773755656,21.57239819004525,1.6855203619909502,-0.755656108597285,"-0.76,3.23,1.57,2.70",8,10,-4.544444444444444,0.23642533936651583,5.230769230769231,17.595237996513447,0.916289592760181,66.64423076923077,dist_bin,15-20,,
,1536,0.2578125,0.26504720052083336,21.203776041666668,-0.5787760416666666,-3.5286458333333335,"1.85,0.92,-3.53,-1.55",4,10,-5.09433962264151,0.21158854166666666,5.201171875,34.56932273404805,2.0540364583333335,70.55397135416666,dist_bin,30-40,,
,985,0.2598984771573604,0.27019035532994923,21.615228426395937,-0.8233502538071066,-3.125506072874494,"-3.13,-1.65,-1.36,2.85",4,10,-5.760416666666667,0.20609137055837565,5.614213197969543,22.460068630803885,1.286294416243655,64.59492385786803,dist_bin,20-25,,
,706,0.26203966005665724,0.2738668555240793,21.909348441926344,-0.9461756373937678,-2.1977401129943503,"-1.54,1.82,-2.20,-1.86",4,10,-6.384615384615385,0.21388101983002833,4.859773371104816,12.649043451425662,0.4461756373937677,67.23385269121813,dist_bin,10-15,,
,969,0.23116615067079463,0.2679566563467492,21.436532507739937,-2.9432404540763675,-5.413223140495868,"-2.62,-2.25,-1.49,-5.41",3,10,-5.9326923076923075,0.19195046439628483,5.654282765737874,27.45221953753327,1.760577915376677,65.93168214654283,dist_bin,25-30,,
,622,0.1977491961414791,0.25840032154340836,20.672025723472668,-4.852090032154341,-9.819354838709678,"-3.63,-9.82,-3.30,-2.67",1,10,-13.672727272727272,0.15434083601286175,4.596463022508039,45.01761891621838,1.8344051446945338,76.51495176848876,dist_bin,40-60,,
,1877,0.2749067661161428,0.2672149706979222,21.37719765583378,0.6153436334576452,-0.7014925373134329,"-0.43,2.03,1.57,-0.70",7,10,-3.217391304347826,0.2237613212573255,5.079914757591902,26.266129636860533,1.0,69.81017581246671,bars_bin,,1,
,506,0.2608695652173913,0.2692687747035573,21.541501976284586,-0.6719367588932806,-3.8976377952755907,"1.83,-0.10,-3.90,-0.51",5,10,-5.074074074074074,0.2015810276679842,5.391304347826087,31.281949103133005,3.0,72.06739130434782,bars_bin,,3,
,469,0.24520255863539445,0.2681503198294243,21.452025586353944,-1.835820895522388,-7.213675213675214,"0.40,3.42,-7.21,-3.97",4,10,-12.323529411764707,0.2046908315565032,6.223880597014926,31.710834462414287,4.409381663113006,71.63859275053305,bars_bin,,4-5,
,902,0.23392461197339245,0.2690133037694013,21.521064301552105,-2.8070953436807096,-5.3053097345132745,"-5.31,-3.07,-1.26,-1.59",2,10,-6.783132530120482,0.18514412416851442,5.028824833702883,29.6349860612036,2.0,70.8910199556541,bars_bin,,2,
,171,0.19883040935672514,0.26403508771929823,21.12280701754386,-5.216374269005848,-6.488372093023256,"-6.05,-2.49,-6.49,-5.86",3,10,-13.818181818181818,0.1695906432748538,7.760233918128655,31.870744369543996,6.549707602339181,36.51169590643275,bars_bin,,6-8,
YES,123,0.3983739837398374,0.27672764227642277,22.13821138211382,9.731707317073171,6.193548387096774,"6.45,6.19,11.48,14.97",9,10,-0.36363636363636365,0.34146341463414637,3.6910569105691056,3.0050631091457,0.032520325203252036,73.74634146341464,side_dist,0-5,,
NO,117,0.3418803418803419,0.27745726495726497,22.196581196581196,5.153846153846154,-1.0666666666666667,"-1.07,16.31,2.86,2.72",6,10,-10.428571428571429,0.28205128205128205,4.051282051282051,2.5965094915089346,0.05982905982905983,71.17777777777778,side_dist,0-5,,
YES,236,0.3389830508474576,0.2778601694915254,22.228813559322035,4.889830508474576,-1.4745762711864407,"7.42,7.47,-1.47,6.14",8,10,-4.857142857142857,0.2711864406779661,4.36864406779661,7.733129382433382,0.21610169491525424,69.78771186440677,side_dist,5-10,,
NO,206,0.3058252427184466,0.27639563106796117,22.111650485436893,2.354368932038835,-1.3725490196078431,"9.98,1.10,-0.38,-1.37",6,10,-18.333333333333332,0.2621359223300971,4.436893203883495,7.8149017744900755,0.21844660194174756,71.3131067961165,side_dist,5-10,,
YES,458,0.29475982532751094,0.2690775109170306,21.526200873362445,2.054585152838428,-3.8521739130434782,"-3.85,7.07,0.71,4.35",6,10,-8.862745098039216,0.24017467248908297,5.24235807860262,17.676580528294814,0.9541484716157205,67.58711790393012,side_dist,15-20,,
NO,426,0.2863849765258216,0.27027582159624414,21.622065727699532,1.2887323943661972,-1.0754716981132075,"3.12,0.14,2.93,-1.08",6,10,-5.055555555555555,0.2323943661971831,5.21830985915493,17.507785227602962,0.8755868544600939,65.63051643192487,side_dist,15-20,,
NO,792,0.273989898989899,0.2640940656565657,21.127525252525253,0.7916666666666666,-3.398989898989899,"3.90,3.52,-3.40,-0.85",6,10,-5.928571428571429,0.22348484848484848,5.2272727272727275,34.53644587220202,2.092171717171717,70.59040404040404,side_dist,30-40,,
YES,385,0.2675324675324675,0.2746753246753247,21.974025974025974,-0.5714285714285714,-1.2291666666666667,"-0.47,-0.08,-0.50,-1.23",6,10,-9.692307692307692,0.23376623376623376,4.8545454545454545,12.558222409208264,0.45454545454545453,67.74051948051948,side_dist,10-15,,
NO,479,0.2588726513569937,0.26878914405010434,21.50313152400835,-0.7933194154488518,-5.466666666666667,"-4.88,-5.47,0.52,6.71",4,10,-12.25,0.2150313152400835,5.542797494780793,22.480883737304097,1.269311064718163,64.80250521920668,side_dist,20-25,,
YES,506,0.2608695652173913,0.2715167984189723,21.721343873517785,-0.8517786561264822,-4.511811023622047,"-0.88,2.01,-4.51,0.01",2,10,-11.068965517241379,0.1976284584980237,5.681818181818182,22.440364211804674,1.3023715415019763,64.39841897233201,side_dist,20-25,,
NO,321,0.2554517133956386,0.27289719626168224,21.83177570093458,-1.395638629283489,-4.75,"-1.94,3.96,-2.85,-4.75",4,10,-13.904761904761905,0.19003115264797507,4.866043613707165,12.757972115767398,0.43613707165109034,66.62616822429906,side_dist,10-15,,
YES,744,0.24059139784946237,0.26606182795698924,21.28494623655914,-2.0376344086021505,-3.747311827956989,"-0.34,-1.84,-3.75,-2.22",3,10,-5.840579710144928,0.1989247311827957,5.173387096774194,34.60432068375511,2.013440860215054,70.51518817204301,side_dist,30-40,,
NO,449,0.23608017817371937,0.26790089086859686,21.43207126948775,-2.5456570155902005,-4.9375,"-0.66,-2.25,-2.35,-4.94",2,10,-8.125,0.18040089086859687,5.639198218262806,27.405640733367516,1.688195991091314,65.75389755011136,side_dist,25-30,,
YES,520,0.22692307692307692,0.2680048076923077,21.440384615384616,-3.2865384615384614,-5.823076923076923,"-5.52,-0.41,-1.39,-5.82",2,10,-8.0,0.20192307692307693,5.667307692307692,27.492438543437935,1.823076923076923,66.08519230769231,side_dist,25-30,,
NO,351,0.21367521367521367,0.258974358974359,20.71794871794872,-3.623931623931624,-7.931818181818182,"0.31,-7.93,-6.23,-0.61",2,10,-11.019607843137255,0.16809116809116809,4.592592592592593,45.105029435162976,1.754985754985755,76.16182336182337,side_dist,40-60,,
YES,271,0.17712177121771217,0.25765682656826566,20.612546125461254,-6.442804428044281,-10.161764705882353,"-8.74,-10.16,-3.00,-3.84",2,10,-17.5,0.13653136531365315,4.601476014760148,44.9044045540429,1.937269372693727,76.97232472324723,side_dist,40-60,,
,73,0.3424657534246575,0.28184931506849314,22.54794520547945,4.8493150684931505,-1.8421052631578947,"-1.84,-0.22,13.44,8.39",6,10,-22.166666666666668,0.2602739726027397,4.958904109589041,8.224157006330746,1.0,68.05616438356164,dist_bars,5-10,1,
,188,0.324468085106383,0.2762632978723404,22.101063829787233,3.856382978723404,0.3617021276595745,"5.11,5.32,4.64,0.36",7,10,-2.761904761904762,0.2978723404255319,5.212765957446808,12.801379700916158,1.0,65.24521276595743,dist_bars,10-15,1,
,38,0.3157894736842105,0.27861842105263157,22.289473684210527,2.973684210526316,-13.222222222222221,"18.10,-5.22,9.80,-13.22",5,10,-22.5,0.2631578947368421,6.026315789473684,18.141508688660366,3.0,63.66052631578947,dist_bars,15-20,3,
,57,0.3157894736842105,0.2802631578947369,22.42105263157895,2.8421052631578947,-11.933333333333334,"-11.93,17.79,6.50,0.07",5,10,-23.0,0.2631578947368421,6.421052631578948,22.890290362750722,4.350877192982456,65.68771929824561,dist_bars,20-25,4-5,
,105,0.3047619047619048,0.27142857142857146,21.714285714285715,2.6666666666666665,-9.666666666666666,"-9.67,8.92,-3.38,15.27",5,10,-16.0,0.24761904761904763,5.485714285714286,27.754776312199425,3.0,70.80095238095238,dist_bars,25-30,3,
